composition,cell,positions,numbers,material_id,MP Formation energy (eV/atom),MP Hull distance (eV/atom),natoms,spacegroup
TiSi,"[[3.63174164, 0.0, 0.0], [-0.0, 4.99348361, 0.0], [0.0, 0.0, 6.51223075]]","[[0.25, 0.37178419, 0.67568383], [0.75, 0.62821581, 0.32431617], [0.75, 0.8717841900000001, 0.82431617], [0.25, 0.12821581, 0.17568383], [0.25, 0.85539789, 0.54392999], [0.75, 0.14460211, 0.45607001], [0.75, 0.35539789, 0.95607001], [0.25, 0.64460211, 0.04392999]]","[22, 22, 22, 22, 14, 14, 14, 14]",mp-7092,-0.7333432441666679,0.0,8,Pnma
Si,"[[3.333573, 0.0, 1.924639], [1.111191, 3.142924, 1.924639], [0.0, 0.0, 3.849278]]","[[0.875, 0.875, 0.875], [0.125, 0.125, 0.125]]","[14, 14]",mp-149,0.0,0.0,2,Fd-3m
Si2Mo,"[[2.99823962, -0.0, -1.13042946], [-0.42620734, 2.96779172, -1.13042946], [-0.009031850000000001, -0.01042174, 4.51737489]]","[[0.66456963, 0.66456963, 0.32914126], [0.33543037000000003, 0.33543037000000003, 0.67085874], [-0.0, -0.0, -0.0]]","[14, 14, 42]",mp-2592,-0.49829628666666653,0.0,3,I4/mmm
Ti5Si3,"[[7.44707532, -0.0, -0.0], [-3.72353817, 6.44935672, 0.0], [0.0, 0.0, 5.11502135]]","[[0.333333, 0.666667, 0.0], [0.666667, 0.333333, 0.5], [0.666667, 0.333333, 0.0], [0.333333, 0.666667, 0.5], [0.25032516, 0.0, 0.25], [0.25032516, 0.25032516, 0.75], [0.0, 0.7496748400000001, 0.75], [-0.0, 0.25032516, 0.25], [0.7496748400000001, 0.7496748400000001, 0.25], [0.7496748400000001, -0.0, 0.75], [0.60784028, 0.0, 0.25], [0.60784028, 0.60784028, 0.75], [0.0, 0.39215972, 0.75], [-0.0, 0.60784028, 0.25], [0.39215972, 0.39215972, 0.25], [0.39215972, -0.0, 0.75]]","[22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 14, 14, 14, 14, 14, 14]",mp-2108,-0.7434063752083331,0.0,16,P6_3/mcm
TiSi2,"[[-3.53021005, -1e-08, -0.0], [0.0, 0.0, -3.56517397], [1.7651035, -6.75928153, -0.0]]","[[0.89688193, 0.75, 0.79376385], [0.10311807, 0.25, 0.20623615], [0.55825096, 0.75, 0.11650292], [0.44174904, 0.25, 0.88349708], [0.24968419, 0.75, 0.49937037], [0.75031581, 0.25, 0.50062963]]","[22, 22, 14, 14, 14, 14]",mp-1077503,-0.5140520411111117,0.0,6,Cmcm
Ti5Si4,"[[6.68896492, -0.0, -0.0], [0.0, 6.68896492, 0.0], [-0.0, 0.0, 12.15760457]]","[[0.99586227, 0.14908996, 0.6220688], [0.35091004000000003, 0.49586227, 0.8720688], [0.64908996, 0.5041377300000001, 0.3720688], [0.49586227, 0.35091004000000003, 0.1279312], [0.5041377300000001, 0.64908996, 0.6279312], [0.00413773, 0.85091004, 0.122068799999999], [0.14908996, 0.99586227, 0.377931199999999], [0.85091004, 0.00413773, 0.877931199999999], [0.00256245, 0.34535309000000003, 0.2178602], [0.15464691, 0.50256245, 0.4678602], [0.84535309, 0.49743755, 0.9678602], [0.50256245, 0.15464691, 0.532139799999999], [0.49743755, 0.84535309, 0.032139799999999004], [0.99743755, 0.65464691, 0.7178602], [0.34535309000000003, 0.00256245, 0.782139799999999], [0.65464691, 0.99743755, 0.2821398], [0.1711276, 0.1711276, -0.0], [0.3288724, 0.671127599999999, 0.25], [0.671127599999999, 0.3288724, 0.75], [0.8288724, 0.8288724, 0.5], [0.04535421, 0.30087658, 0.81315346], [0.19912342, 0.5453542100000001, 0.06315346], [0.8008765800000001, 0.45464579, 0.56315346], [0.5453542100000001, 0.19912342, 0.93684654], [0.45464579, 0.8008765800000001, 0.43684654], [0.95464579, 0.69912342, 0.31315346], [0.30087658, 0.04535421, 0.18684654], [0.69912342, 0.95464579, 0.68684654], [0.2942325, 0.35763964, 0.67280954], [0.14236036, 0.7942325, 0.92280954], [0.85763964, 0.2057675, 0.42280954], [0.7942325, 0.14236036, 0.07719046], [0.2057675, 0.85763964, 0.57719046], [0.7057675, 0.64236036, 0.17280954], [0.35763964, 0.2942325, 0.32719046], [0.64236036, 0.7057675, 0.8271904600000001]]","[22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]",mp-505527,-0.7589916868518516,0.0,36,P4_12_12
Ti,"[[4.56737542, 1e-08, 0.0], [-2.28368669, 3.9554623700000002, 0.0], [-0.0, 0.0, 2.82624427]]","[[0.0, -0.0, 0.0], [0.333333, 0.666667, 0.5], [0.666667, 0.333333, 0.5]]","[22, 22, 22]",mp-72,0.0,0.0,3,P6/mmm
Si3Mo5,"[[4.60738764, 0.0, 1.65943695], [2.30369382, 6.82078683, 0.82971898], [-0.00759723, 0.0, 7.24696641]]","[[0.83278363, 0.5, 0.83443375], [0.66721637, 0.16556625, 0.5], [0.33278363, 0.83443375, 0.5], [0.16721637, 0.5, 0.16556625], [0.75, 0.0, -0.0], [0.25, 0.0, -0.0], [0.27611901, 0.14694172, 0.30081926000000003], [0.7238809900000001, 0.8530582800000001, 0.69918074], [0.42305973, 0.30081926000000003, 0.8530582800000001], [0.57694027, 0.69918074, 0.14694172], [0.92305973, 0.8530582800000001, 0.30081926000000003], [0.22388099, 0.69918074, 0.8530582800000001], [0.77611901, 0.30081926000000003, 0.14694172], [0.07694027, 0.14694172, 0.69918074], [0.75, 0.5, 0.5], [0.25, 0.5, 0.5]]","[14, 14, 14, 14, 14, 14, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42]",mp-1332,-0.37395356312500105,0.0,16,I4/mcm
SiMo3,"[[4.88969519, -0.0, 0.0], [0.0, 4.88969519, 0.0], [-0.0, 0.0, 4.88969519]]","[[0.5, 0.5, 0.5], [0.0, -0.0, -0.0], [0.0, 0.5, 0.25], [0.0, 0.5, 0.75], [0.5, 0.75, -0.0], [0.5, 0.25, -0.0], [0.75, -0.0, 0.5], [0.25, -0.0, 0.5]]","[14, 14, 42, 42, 42, 42, 42, 42]",mp-1275,-0.3145070162500012,0.0,8,Pm-3n
TiMo3,"[[0.0, -3.16520997, 0.0], [-4.42103518, 0.0, -0.0], [2.21051759, 1.5826049800000002, -4.47507591]]","[[-0.0, 0.5, -0.0], [0.24340963000000002, 0.24340963000000002, 0.48681825], [0.7565903700000001, 0.7565903700000001, 0.51318175], [0.5, -0.0, -0.0]]","[22, 42, 42, 42]",mp-1017983,-0.1472509033333349,0.0,4,Immm
Mo,"[[2.5863490000000002, 0.0, -0.914412999999999], [-1.293175, 2.239844, -0.914412999999999], [0.0, 0.0, 2.743238]]","[[0.0, 0.0, 0.0]]",[42],mp-129,0.0,0.0,1,Im-3m
Ir,"[[2.360040719999999, -0.0, 1.36256974], [0.78667957, 2.225066619999999, 1.36256974], [0.0, -0.0, 2.72513948]]","[[0.0, -0.0, 0.0]]",[77],mp-101,0.0,0.0,1,Fm-3m
AlIr,"[[2.99455485, 0.0, -0.0], [0.0, 2.99455485, -0.0], [0.0, 0.0, 2.99455485]]","[[-0.0, -0.0, -0.0], [0.5, 0.5, 0.5]]","[13, 77]",mp-1885,-0.9589776900000002,0.0,2,Pm-3m
Ag,"[[1.473047, -2.551393, 0.0], [1.473047, 2.551393, 0.0], [0.0, -1.700928, 7.20465]]","[[0.0, 0.0, 0.0], [0.222281999999999, 0.7777200000000001, 0.333157], [0.7777200000000001, 0.222281999999999, 0.666843]]","[47, 47, 47]",mp-989737,0.0,0.0,3,R-3m
AlAg2,"[[5.00690877, -0.03836431, 0.0], [-2.53667874, 4.31692789, 0.0], [0.0, 0.0, 4.58486256]]","[[0.010895, 0.010895, 0.0], [0.6558301400000001, 0.6558301400000001, 0.5], [0.67970649, 0.3577015, 0.0], [0.3577015, 0.67970649, 0.0], [0.30910713, 0.9870917300000001, 0.5], [0.9870917300000001, 0.30910713, 0.5]]","[13, 13, 47, 47, 47, 47]",mp-985805,-0.07547678944444414,0.0,6,Cmcm
Al,"[[2.473329, 0.0, 1.427977], [0.824442999999999, 2.331877, 1.427977], [0.0, 0.0, 2.855955]]","[[0.0, 0.0, 0.0]]",[13],mp-134,0.0,0.0,1,Fm-3m
Al3Ir,"[[4.27012569, 0.0, -0.0], [-2.13506285, 3.69803727, 0.0], [0.0, 0.0, 7.7407781700000005]]","[[0.0, -0.0, 0.25], [-0.0, -0.0, 0.75], [0.333333, 0.666667, 0.57989058], [0.666667, 0.333333, 0.07989058], [0.666667, 0.333333, 0.42010942], [0.333333, 0.666667, 0.9201094200000001], [0.333333, 0.666667, 0.25], [0.666667, 0.333333, 0.75]]","[13, 13, 13, 13, 13, 13, 77, 77]",mp-2294,-0.6646504875000003,0.0,8,P6_3/mmc
Al9Ir2,"[[6.32691737, -3.249e-05, -0.54843544], [-3.418e-05, 6.43313335, -1.756e-05], [-0.02829311, -2.3910000000000003e-05, 8.69604484]]","[[0.0, 0.5, 0.5], [0.0, 0.0, -0.0], [0.78663394, 0.39629287, 0.96113071], [0.21337065, 0.89633697, 0.53886771], [0.59698479, 0.47999531, 0.22776747], [0.403013099999999, 0.97997256, 0.27219258], [0.40301521, 0.52000469, 0.77223253], [0.5969869, 0.02002744, 0.72780742], [0.61204877, 0.69313765, 0.50195046], [0.38797789, 0.19311099, 0.99804791], [0.38795123000000004, 0.30686235, 0.49804954], [0.6120221100000001, 0.80688901, 0.00195209], [0.9007240200000001, 0.785230499999999, 0.27389045], [0.09926704, 0.28522298, 0.22611004], [0.09927598, 0.2147695, 0.72610955], [0.90073296, 0.71477802, 0.77388996], [0.78662935, 0.10366303, 0.46113229], [0.21336606, 0.60370713, 0.03886929], [0.73635189, 0.37669346000000004, 0.66891616], [0.26363947, 0.87669681, 0.831096], [0.26364811, 0.62330654, 0.33108384], [0.73636053, 0.12330319000000001, 0.168904]]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 77, 77, 77, 77]",mp-12003,-0.5249582263636363,0.0,22,P2_1/c
AlAg3,"[[-0.01473576, 6.94652703, 0.01469738], [0.01469738, 0.01473576, 6.94652703], [6.94652703, -0.01469738, 0.01473576]]","[[0.30920808, 0.19079192, 0.80920808], [0.197076199999999, 0.81751891, 0.30728307], [0.80728307, 0.302923799999999, 0.18248109], [0.68248109, 0.69271693, 0.697076199999999], [0.94114308, 0.55885692, 0.44114308], [0.87141757, 0.69897684, 0.05065262], [0.55065262, 0.62858243, 0.30102316], [0.8010231600000001, 0.9493473800000001, 0.37141757000000003], [0.64063133, 0.30188145, 0.53927686], [0.95982434, 0.382731899999999, 0.799101899999999], [0.70151969, 0.04503545, 0.8700118800000001], [0.37001188, 0.79848031, 0.95496455], [0.039276860000000004, 0.8593686700000001, 0.69811855], [0.2991019, 0.5401756600000001, 0.6172681], [0.1172681, 0.2008981, 0.45982434], [0.45496455, 0.12998812, 0.20152069], [0.19811855, 0.46072314000000003, 0.14063233], [0.55933864, 0.43530142, 0.93495869], [0.43495869000000004, 0.94066136, 0.5646985800000001], [0.06469858, 0.06504131, 0.05933864]]","[13, 13, 13, 13, 13, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47]",mp-1228988,-0.07623451699999961,0.0,20,R3
V,"[[2.43511876, 0.0, -0.86094488], [-1.21755938, 2.10887451, -0.86094488], [-0.0, -0.0, 2.58283362]]","[[0.0, 0.0, -0.0]]",[23],mp-146,0.0,0.0,1,Im-3m
VSb2,"[[5.22481257, -0.005752999999999, -1.46261928], [-3.0072697, 4.27259063, -1.46261928], [0.00298993, 0.005752999999999, 5.42567304]]","[[0.75, 0.75, 0.0], [0.25, 0.25, 0.0], [0.84425523, 0.65574477, 0.5], [0.34425523, 0.84425523, 0.18851146], [0.15574477, 0.34425523, 0.5], [0.65574477, 0.15574477, 0.81148854]]","[23, 23, 51, 51, 51, 51]",mp-2851,-0.191192383333334,0.0,6,I4/mcm
V3Sb,"[[4.90962562, -0.0, 0.0], [0.0, 4.90962562, 0.0], [-0.0, 0.0, 4.90962562]]","[[0.5, 0.25, -0.0], [0.5, 0.75, -0.0], [0.25, 0.0, 0.5], [0.75, 0.0, 0.5], [-0.0, 0.5, 0.25], [-0.0, 0.5, 0.75], [0.5, 0.5, 0.5], [-0.0, 0.0, -0.0]]","[23, 23, 23, 23, 23, 23, 51, 51]",mp-1555,-0.2632138625000007,0.0,8,Pm-3n
