composition,cell,positions,numbers,entry_id,calculation_id,OQMD Formation energy (eV/atom),OQMD Hull distance (eV/atom),natoms,spacegroup
Fe,"[[1.4091, 1.4091, 1.4091], [1.4091, -1.4091, -1.4091], [-1.4091, 1.4091, -1.4091]]","[[0.0, 0.0, 0.0]]",[26],8568,4213,0.0,0.0,1,Im-3m
NbGa3,"[[0.0, -3.820575, 0.0], [-3.820575, 0.0, 0.0], [1.910287, 1.910287, -4.386983]]","[[0.5, 0.5, 0.0], [0.75, 0.25, 0.5], [0.25, 0.75, 0.5], [0.0, 0.0, 0.0]]","[31, 31, 31, 41]",30302,10701,-0.30627533375,0.0,4,I4/mmm
GaFe3,"[[3.655547, 0.0, 0.0], [0.0, 3.655547, 0.0], [0.0, 0.0, 3.655547]]","[[0.5, 0.5, 0.0], [0.5, 0.0, 0.5], [0.0, 0.5, 0.5], [0.0, 0.0, 0.0]]","[26, 26, 26, 31]",30161,11608,-0.137155466250001,0.0,4,Pm-3m
Nb3Ga2,"[[6.938223, 0.0, 0.0], [0.0, 6.938223, 0.0], [0.0, 0.0, 3.519761]]","[[0.626, 0.126, 0.0], [0.126, 0.374, 0.0], [0.874, 0.626, 0.0], [0.374, 0.874, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.0], [0.324, 0.176, 0.5], [0.824, 0.324, 0.5], [0.176, 0.676, 0.5], [0.676, 0.824, 0.5]]","[31, 31, 31, 31, 41, 41, 41, 41, 41, 41]",17261,145256,-0.364511542000001,0.0,10,P4/mbm
Ga3Fe,"[[6.253633, 0.0, 0.0], [0.0, 6.253633, 0.0], [0.0, 0.0, 6.543413]]","[[0.344, 0.344, 0.0], [0.656, 0.656, 0.0], [0.844, 0.156, 0.5], [0.156, 0.844, 0.5], [0.5, 0.0, 0.0], [0.0, 0.5, 0.0], [0.656, 0.344, 0.237], [0.344, 0.656, 0.237], [0.156, 0.156, 0.263], [0.844, 0.844, 0.263], [0.5, 0.0, 0.5], [0.0, 0.5, 0.5], [0.156, 0.156, 0.737], [0.844, 0.844, 0.737], [0.656, 0.344, 0.763], [0.344, 0.656, 0.763]]","[26, 26, 26, 26, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31]",30160,1227621,-0.237899091875,0.0,16,P42/mnm
Nb5Ga13,"[[1.897267, -20.26843, 0.0], [-3.794535, 0.0, 0.0], [0.0, 0.0, -3.786165]]","[[0.109, 0.0547, 0.0], [0.33, 0.165, 0.0], [0.777, 0.388, 0.0], [0.223, 0.612, 0.0], [0.67, 0.835, 0.0], [0.891, 0.945, 0.0], [0.0, 0.0, 0.5], [0.456, 0.228, 0.5], [0.671, 0.335, 0.5], [0.89, 0.445, 0.5], [0.11, 0.555, 0.5], [0.329, 0.665, 0.5], [0.544, 0.772, 0.5], [0.567, 0.283, 0.0], [0.0, 0.5, 0.0], [0.433, 0.717, 0.0], [0.217, 0.108, 0.5], [0.783, 0.892, 0.5]]","[31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 41, 41, 41, 41, 41]",30300,1231504,-0.318486621388889,0.0,18,Cmmm
Nb,"[[1.658875, 1.658875, 1.658875], [1.658875, -1.658875, -1.658875], [-1.658875, 1.658875, -1.658875]]","[[0.0, 0.0, 0.0]]",[41],1215170,1281713,0.0,0.0,1,Im-3m
Ga,"[[-2.277499, -3.870427, 0.0], [-2.277499, 3.870427, 0.0], [0.0, 0.0, -4.558513]]","[[0.156, 0.844, 0.0813], [0.656, 0.344, 0.419], [0.344, 0.656, 0.581], [0.844, 0.156, 0.919]]","[31, 31, 31, 31]",1214704,1282970,0.0,0.0,4,Cmca
NbGaFe2,"[[4.183815, 0.0, 0.0], [0.0, 5.916547, 0.0], [0.0, 0.0, 12.550378]]","[[0.5, 0.25, 0.0], [0.5, 0.75, 0.0], [0.0, 0.25, 0.167], [0.0, 0.75, 0.167], [0.5, 0.25, 0.333], [0.5, 0.75, 0.333], [0.0, 0.25, 0.5], [0.0, 0.75, 0.5], [0.5, 0.25, 0.667], [0.5, 0.75, 0.667], [0.0, 0.25, 0.833], [0.0, 0.75, 0.833], [0.0, 0.0, 0.0], [0.5, 0.5, 0.167], [0.0, 0.0, 0.333], [0.5, 0.5, 0.5], [0.0, 0.0, 0.667], [0.5, 0.5, 0.833], [0.0, 0.5, 0.0], [0.5, 0.0, 0.167], [0.0, 0.5, 0.333], [0.5, 0.0, 0.5], [0.0, 0.5, 0.667], [0.5, 0.0, 0.833]]","[26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 31, 31, 31, 31, 31, 31, 41, 41, 41, 41, 41, 41]",1014662,1981027,-0.263675571250001,0.0,24,Fm-3m
Nb,"[[-1.659699341, 1.659699341, 1.659699341], [1.659699341, -1.659699341, 1.659699341], [1.659699341, 1.659699341, -1.659699341]]","[[0.0, 0.0, 0.0]]",[41],1521870,3975384,0.0,0.0,1,Im-3m
Nb,"[[-1.659699341, 1.659699341, 1.659699341], [1.659699341, -1.659699341, 1.659699341], [1.659699341, 1.659699341, -1.659699341]]","[[0.0, 0.0, 0.0]]",[41],1521875,3975385,0.0,0.0,1,Im-3m
Fe,"[[-1.410668726, 1.410668726, 1.410668726], [1.410668726, -1.410668726, 1.410668726], [1.410668726, 1.410668726, -1.410668726]]","[[0.0, 0.0, 0.0]]",[26],1522121,3976521,0.0,0.0,1,Im-3m
Fe,"[[-1.410668726, 1.410668726, 1.410668726], [1.410668726, -1.410668726, 1.410668726], [1.410668726, 1.410668726, -1.410668726]]","[[0.0, 0.0, 0.0]]",[26],1522123,3976522,0.0,0.0,1,Im-3m
NbFe2,"[[0.0, 3.389998433, 3.389998433], [3.389998433, 0.0, 3.389998433], [3.389998433, 3.389998433, 0.0]]","[[0.625, 0.625, 0.125], [0.625, 0.125, 0.625], [0.125, 0.625, 0.625], [0.625, 0.625, 0.625], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25]]","[26, 26, 26, 26, 41, 41]",1590960,4209601,-0.1352849616666667,0.0,6,Fd-3m
