,composition,type,cell,positions,numbers,energy (eV/atom),formation energy (eV/atom),hull distance (eV/atom)
654,Sc2FeSi,inverse,"[[3.12677314, 3.12677314, 0.0], [-3.12677314, 3.12677314, -0.0], [-0.0, -0.0, 6.25447539]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[21, 21, 21, 21, 26, 26, 14, 14]",-6.83185523875,-0.2835407987500007,0.3242950464285713
4474,Ti2AgTl,full,"[[2.99353062, 2.99353062, -0.0], [-2.99353062, 2.99353062, -0.0], [-0.0, -0.0, 8.36980264]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[22, 22, 22, 22, 47, 47, 81, 81]",-5.0607498975,0.0730230506250002,0.1513011443931309
4648,TiHfTl,half,"[[2.9350788, 2.9350788, -0.0], [-2.9350788, 2.9350788, -0.0], [-0.0, -0.0, 8.6036456]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[22, 22, 72, 72, 81, 81]",-5.994898756666667,0.6523825158333333,0.6839595420954216
5213,V2ScGe,full,"[[2.68908899, 2.68908899, 0.0], [-2.68908899, 2.68908899, -0.0], [0.0, 0.0, 8.76325533]]","[[0.4999999999999999, 4.128621361188781e-17, 0.25], [0.9999999999999998, 0.4999999999999998, 0.75], [0.4999999999999999, 4.128621361188781e-17, 0.75], [0.9999999999999998, 0.4999999999999998, 0.25], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]","[23, 23, 23, 23, 21, 21, 32, 32]",-7.2647446775,-0.0933957600000008,0.3797703332499994
6267,V2CuGa,inverse,"[[2.6050695, 2.6050695, -0.0], [-2.6050695, 2.6050695, -0.0], [-0.0, -0.0, 7.95543536]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[23, 23, 23, 23, 29, 29, 31, 31]",-6.1491198425,-0.0053891474999998,0.1471673795833337
6594,V2YIn,full,"[[2.97192114, 2.97192114, 0.0], [-2.97192114, 2.97192114, -0.0], [0.0, 0.0, 8.87927478]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[23, 23, 23, 23, 39, 39, 49, 49]",-6.3435148075,0.3830423275000001,0.6355909375000002
6608,VYSb,half,"[[0.0, 3.37957327, 3.37957327], [3.37957327, 0.0, 3.37957327], [3.37957327, 3.37957327, -0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]","[23, 39, 51]",-6.62989191,-0.1203988450000004,0.658361515
7891,V2PtBi,full,"[[2.81512646, 2.81512646, 0.0], [-2.81512646, 2.81512646, 0.0], [0.0, 0.0, 8.42379091]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[23, 23, 23, 23, 78, 78, 83, 83]",-6.89896168875,0.0769535025000003,0.4276521618749996
8391,Cr3Ge,full,"[[2.93353334, 2.93353334, 0.0], [-2.93353334, 2.93353334, 0.0], [-0.0, -0.0, 5.85432977]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[24, 24, 24, 24, 24, 24, 32, 32]",-8.23388921625,0.0346944662499986,0.1666521937499986
8734,Cr2FeBi,inverse,"[[2.81931874, 2.81931874, -0.0], [-2.81931874, 2.81931874, -0.0], [-0.0, -0.0, 7.89067659]]","[[0.4999999999999999, 3.9379124072546565e-17, 0.25], [0.9999999999999999, 0.49999999999999983, 0.75], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.4999999999999999, 3.9379124072546565e-17, 0.75], [0.9999999999999999, 0.49999999999999983, 0.25], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]","[24, 24, 24, 24, 26, 26, 83, 83]",-7.27462545625,0.5222660799999996,0.5222660799999996
