structure_id,composition,type,cell,positions,numbers,strained_cell,strained_positions,strained_numbers,optimized_formula,optimized_cell,optimized_positions,optimized_numbers,Energy (eV/atom),source,Formation Energy (eV/atom),Hull Distance (eV/atom)
654,Sc2FeSi,inverse,"[[3.12677314, 3.12677314, 0.0], [-3.12677314, 3.12677314, -0.0], [-0.0, -0.0, 6.25447539]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[21, 21, 21, 21, 26, 26, 14, 14]","[[3.439450454, 3.439450454, 0.0], [-3.439450454, 3.439450454, 0.0], [0.0, 0.0, 6.879922929]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[21, 21, 21, 21, 26, 26, 14, 14]",Sc2FeSi,"[[3.137012169694746, 3.1370121696947466, -2.131522672102962e-24], [-3.137012169694746, 3.1370121696947466, -2.1315226721029625e-24], [5.851782068736781e-41, -4.263045342807602e-24, 6.274024336185045]]","[[0.49999999999999983, 1.9092920639879472e-16, 0.25000000000000017], [-3.489112625026791e-16, 0.5000000000000006, 0.7499999999999997], [6.455496650002381e-17, 6.455496650002386e-17, 0.5000000000000004], [0.49999999999999983, 0.5000000000000004, -6.455496650002385e-17], [0.4999999999999999, 1.6317363112290352e-16, 0.7499999999999997], [-2.93400111611159e-16, 0.5000000000000004, 0.25000000000000017], [6.455496650002378e-17, 6.455496650002385e-17, -6.455496650002385e-17], [0.49999999999999983, 0.5000000000000004, 0.5000000000000004]]","[21, 21, 21, 21, 26, 26, 14, 14]",-6.8937883377075195,example_data_result_test1,-0.2777955532073974,0.34437138693673325
4474,Ti2AgTl,full,"[[2.99353062, 2.99353062, -0.0], [-2.99353062, 2.99353062, -0.0], [-0.0, -0.0, 8.36980264]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[22, 22, 22, 22, 47, 47, 81, 81]","[[3.2928836820000003, 3.2928836820000003, 0.0], [-3.2928836820000003, 3.2928836820000003, 0.0], [0.0, 0.0, 9.206782904]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[22, 22, 22, 22, 47, 47, 81, 81]",Ti2TlAg,"[[2.981894438925234, 2.9818944389252326, -2.4533015944817473e-18], [-2.9818944389252344, 2.981894438925233, -2.4533015944818513e-18], [-1.6471365792304618e-32, -6.898121932038104e-18, 8.43916595628296]]","[[0.49999999999999994, -6.379826323007361e-16, 0.24999999999999983], [-1.6562245927821788e-18, 0.5000000000000001, 0.7499999999999992], [0.49999999999999994, -6.374042984534684e-16, 0.7499999999999992], [-2.2345584400497912e-18, 0.5000000000000001, 0.24999999999999983], [-7.219906148151144e-17, -6.266425369648952e-17, 0.49999999999999967], [0.5, 0.49999999999999956, 8.28977868895384e-35], [-3.371582879450026e-17, -3.371582879450023e-17, -3.7360149980804396e-51], [0.5, 0.49999999999999956, 0.49999999999999967]]","[22, 22, 22, 22, 47, 47, 81, 81]",-5.168832302093506,example_data_result_test1,0.0461555322011308,0.10784109433492006
4648,TiHfTl,half,"[[2.9350788, 2.9350788, -0.0], [-2.9350788, 2.9350788, -0.0], [-0.0, -0.0, 8.6036456]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[22, 22, 72, 72, 81, 81]","[[3.5220945599999998, 3.5220945599999998, 0.0], [-3.5220945599999998, 3.5220945599999998, 0.0], [0.0, 0.0, 10.32437472]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[22, 22, 72, 72, 81, 81]",HfTiTl,"[[2.9413687636758756, 2.941368763675868, 4.861975861839569e-23], [-2.9413687636758756, 2.941368763675868, 4.861975861839569e-23], [-3.0883223191281556e-39, 1.4365697372743444e-22, 8.701231571019159]]","[[0.49999999999999983, 2.066111295916887e-16, 0.2500000000000001], [-9.146771210536877e-16, 0.4999999999999997, 0.7500000000000004], [2.796600081106166e-17, -2.796600081106159e-17, 0.5000000000000002], [0.49999999999999867, 0.5000000000000001, 1.3991772240490617e-39], [6.304334001896626e-17, 7.655451778147332e-32, -2.23681024416865e-55], [0.49999999999999867, 0.5000000000000001, 0.5000000000000002]]","[22, 22, 72, 72, 81, 81]",-6.06691042582194,example_data_result_test2,0.62978352440728,0.62978352440728
5213,V2ScGe,full,"[[2.68908899, 2.68908899, 0.0], [-2.68908899, 2.68908899, -0.0], [0.0, 0.0, 8.76325533]]","[[0.4999999999999999, 4.128621361188781e-17, 0.25], [0.9999999999999998, 0.4999999999999998, 0.75], [0.4999999999999999, 4.128621361188781e-17, 0.75], [0.9999999999999998, 0.4999999999999998, 0.25], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]","[23, 23, 23, 23, 21, 21, 32, 32]","[[3.226906788, 3.226906788, 0.0], [-3.226906788, 3.226906788, 0.0], [0.0, 0.0, 10.515906396]]","[[0.4999999999999999, 4.128621361188781e-17, 0.25], [0.9999999999999998, 0.4999999999999998, 0.75], [0.4999999999999999, 4.128621361188781e-17, 0.75], [0.9999999999999998, 0.4999999999999998, 0.25], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]","[23, 23, 23, 23, 21, 21, 32, 32]",ScV2Ge,"[[2.6988721881570856, 2.6988721881570856, 7.741996706445024e-17], [-2.6988721881570856, 2.698872188157085, 7.741996706445178e-17], [-9.652807961163095e-32, 2.5124199022519425e-16, 8.777687354402472]]","[[0.49999999999999994, 3.2207383717678927e-17, 0.25], [0.9999999999999998, 0.5000000000000017, 0.7499999999999998], [0.49999999999999983, 3.6690090824781514e-17, 0.7499999999999998], [0.9999999999999998, 0.5000000000000017, 0.24999999999999997], [-7.090051531356692e-17, 7.090051531356694e-17, 0.5], [0.4999999999999994, 0.5000000000000008, -5.0964233927254456e-33], [-6.881035601981312e-17, 6.881035601981316e-17, -6.413085096291983e-49], [0.4999999999999994, 0.5000000000000008, 0.5]]","[23, 23, 23, 23, 21, 21, 32, 32]",-7.468581199645996,example_data_result_test2,-0.2217960357666015,0.2619522094726562
6267,V2CuGa,inverse,"[[2.6050695, 2.6050695, -0.0], [-2.6050695, 2.6050695, -0.0], [-0.0, -0.0, 7.95543536]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[23, 23, 23, 23, 29, 29, 31, 31]","[[3.1260833999999997, 3.1260833999999997, 0.0], [-3.1260833999999997, 3.1260833999999997, 0.0], [0.0, 0.0, 9.546522432]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[23, 23, 23, 23, 29, 29, 31, 31]",V2GaCu,"[[2.611834009974989, 2.6118340099749884, -5.084785446426049e-31], [-2.6118340099749893, 2.6118340099749893, -5.084785446423781e-31], [-1.0759284713565681e-43, -1.5579311154781448e-30, 7.9881972321897035]]","[[0.5000000000000004, 1.5337892849829067e-16, 0.25], [-1.4019488529733725e-16, 0.5, 0.7500000000000001], [1.3402981206377014e-17, -1.3402981206377e-17, 0.5], [0.5000000000000004, 0.5000000000000002, 4.582972864660323e-47], [0.5000000000000006, 9.786777726703299e-17, 0.7500000000000001], [-8.468373406607958e-17, 0.5, 0.25], [-7.70371977754892e-34, -1.363527529205517e-35, 2.461905057362723e-79], [0.5000000000000004, 0.5000000000000002, 0.5]]","[23, 23, 23, 23, 29, 29, 31, 31]",-6.3378119468688965,example_data_result_test2,-0.0171012878417968,0.13631121317545594
6594,V2YIn,full,"[[2.97192114, 2.97192114, 0.0], [-2.97192114, 2.97192114, -0.0], [0.0, 0.0, 8.87927478]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[23, 23, 23, 23, 39, 39, 49, 49]","[[3.566305368, 3.566305368, 0.0], [-3.566305368, 3.566305368, 0.0], [0.0, 0.0, 10.655129736]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[23, 23, 23, 23, 39, 39, 49, 49]",YV2In,"[[3.0693290388037, 3.0693290388037004, -6.347528716104055e-17], [-3.0693290388036996, 3.0693290388037, -6.347528716104059e-17], [3.382158494488414e-32, -1.894430572861582e-16, 8.78688825814883]]","[[0.4999999999999994, 6.34490823236966e-16, 0.24999999999999994], [-2.0683037549889313e-15, 0.49999999999999983, 0.7499999999999998], [0.4999999999999994, 6.499211546621034e-16, 0.7499999999999998], [-2.0837340864140688e-15, 0.49999999999999983, 0.24999999999999994], [3.316755783111163e-17, -3.316755783111153e-17, 0.4999999999999999], [0.4999999999999974, 0.5000000000000003, -1.7236261241709448e-32], [3.1130901873604324e-17, -3.113090187360419e-17, 1.000835835674793e-48], [0.4999999999999974, 0.5000000000000003, 0.4999999999999999]]","[23, 23, 23, 23, 39, 39, 49, 49]",-6.5613112449646,example_data_result_test2,0.273747444152832,0.5304429531097412
6608,VYSb,half,"[[0.0, 3.37957327, 3.37957327], [3.37957327, 0.0, 3.37957327], [3.37957327, 3.37957327, -0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]","[23, 39, 51]","[[0.0, 3.717530597, 3.717530597], [3.717530597, 0.0, 3.717530597], [3.717530597, 3.717530597, 0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]","[23, 39, 51]",YVSb,"[[3.540608915564491e-18, 3.380782163982168, 3.3807821639821682], [3.380782163982168, -1.2932447195975771e-16, 3.3807821639821682], [3.380782163982168, 3.380782163982168, 4.099657121376608e-17]]","[[0.24999999999999997, 0.25000000000000044, 0.24999999999999953], [0.49999999999999994, 0.5000000000000009, 0.49999999999999906], [-5.972905915131367e-17, 5.972905915131357e-17, -5.972905915131365e-17]]","[23, 39, 51]",-6.6254323323567705,example_data_result_test1,-0.0800437927246093,0.7089385986328127
7891,V2PtBi,full,"[[2.81512646, 2.81512646, 0.0], [-2.81512646, 2.81512646, 0.0], [0.0, 0.0, 8.42379091]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[23, 23, 23, 23, 78, 78, 83, 83]","[[3.378151752, 3.378151752, 0.0], [-3.378151752, 3.378151752, 0.0], [0.0, 0.0, 10.108549091999999]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[23, 23, 23, 23, 78, 78, 83, 83]",V2BiPt,"[[2.8616428212141996, 2.8616428212142013, -5.4186882197202194e-17], [-2.8616428212141996, 2.861642821214201, -5.4186882197201885e-17], [1.16908495636228e-31, -1.596339552893125e-16, 8.338247253308348]]","[[0.49999999999999917, 8.094314785091452e-16, 0.2500000000000001], [-6.577925839891654e-16, 0.49999999999999944, 0.7499999999999998], [0.49999999999999917, 8.233774848124039e-16, 0.7499999999999998], [-6.71738590292424e-16, 0.49999999999999944, 0.2500000000000001], [2.356816146937227e-17, -2.356816146937211e-17, 0.5000000000000002], [0.4999999999999984, 0.5000000000000002, -5.6109593996827786e-33], [6.572961229274906e-17, 1.0255047044392073e-31, 1.0228537924299198e-49], [0.4999999999999984, 0.5000000000000002, 0.5000000000000002]]","[23, 23, 23, 23, 78, 78, 83, 83]",-6.947916030883789,example_data_result_test2,0.0690506100654602,0.41262751817703247
8391,Cr3Ge,full,"[[2.93353334, 2.93353334, 0.0], [-2.93353334, 2.93353334, 0.0], [-0.0, -0.0, 5.85432977]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[24, 24, 24, 24, 24, 24, 32, 32]","[[3.5202400079999996, 3.5202400079999996, 0.0], [-3.5202400079999996, 3.5202400079999996, 0.0], [0.0, 0.0, 7.025195724]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[24, 24, 24, 24, 24, 24, 32, 32]",Cr3Ge,"[[2.9312927691511037, 2.9312927691510993, 6.075060567389969e-18], [-2.9312927691511037, 2.9312927691510993, 6.0750605673901054e-18], [8.057785066844242e-33, 1.2093818854014314e-17, 5.862331090361289]]","[[0.5000000000000001, -1.0210185344054724e-16, 0.24999999999999994], [-5.983114699834413e-16, 0.49999999999999967, 0.7500000000000004], [0.5000000000000001, -1.0313329415684907e-16, 0.7500000000000004], [-5.972800292671395e-16, 0.49999999999999967, 0.24999999999999994], [8.68514276304715e-17, -3.930167807846832e-17, 0.4999999999999999], [0.4999999999999988, 0.5000000000000002, 3.356521312578966e-34], [8.68514276304715e-17, -3.930167807846832e-17, -5.968113958758973e-50], [0.4999999999999988, 0.5000000000000002, 0.4999999999999999]]","[24, 24, 24, 24, 24, 24, 32, 32]",-8.30421257019043,example_data_result_test2,0.0430901050567609,0.163888931274414
8734,Cr2FeBi,inverse,"[[2.81931874, 2.81931874, -0.0], [-2.81931874, 2.81931874, -0.0], [-0.0, -0.0, 7.89067659]]","[[0.4999999999999999, 3.9379124072546565e-17, 0.25], [0.9999999999999999, 0.49999999999999983, 0.75], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.4999999999999999, 3.9379124072546565e-17, 0.75], [0.9999999999999999, 0.49999999999999983, 0.25], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]","[24, 24, 24, 24, 26, 26, 83, 83]","[[3.101250614, 3.101250614, 0.0], [-3.101250614, 3.101250614, 0.0], [0.0, 0.0, 8.679744249]]","[[0.4999999999999999, 3.9379124072546565e-17, 0.25], [0.9999999999999999, 0.49999999999999983, 0.75], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.4999999999999999, 3.9379124072546565e-17, 0.75], [0.9999999999999999, 0.49999999999999983, 0.25], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]","[24, 24, 24, 24, 26, 26, 83, 83]",Cr2FeBi,"[[2.8642385124170606, 2.8642385124170606, 2.436847317306232e-21], [-2.8642385124170597, 2.86423851241706, 2.436847317306232e-21], [-5.163873735127665e-37, 6.889804311272636e-21, 8.226012551774481]]","[[0.5, -1.7326684877394913e-17, 0.2500000000000001], [1.0000000000000042, 0.5000000000000018, 0.7500000000000012], [-8.61254953630421e-18, 1.5180936434556606e-16, 0.5000000000000002], [0.5000000000000037, 0.5000000000000017, -1.5444271684172323e-36], [0.49999999999999994, -1.732728624179608e-17, 0.7500000000000012], [1.0000000000000042, 0.5000000000000018, 0.2500000000000001], [-7.159840740462941e-17, 7.159840740463017e-17, -2.2285008106174173e-52], [0.5000000000000036, 0.5000000000000016, 0.5000000000000002]]","[24, 24, 24, 24, 26, 26, 83, 83]",-7.266390800476074,example_data_result_test1,0.6237037777900687,0.6237037777900687
