Unnamed: 0,composition,type,cell,positions,numbers,initial_cell,initial_positions,initial_numbers,optimized_formula,optimized_cell,optimized_positions,optimized_numbers,Energy (eV/atom),Formation Energy (eV/atom),Hull Distance (eV/atom)
654,Sc2FeSi,inverse,"[[3.12677314, 3.12677314, 0.0], [-3.12677314, 3.12677314, -0.0], [-0.0, -0.0, 6.25447539]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[21, 21, 21, 21, 26, 26, 14, 14]","[[3.12677314, 3.12677314, 0.0], [-3.12677314, 3.12677314, -0.0], [-0.0, -0.0, 6.25447539]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[21, 21, 21, 21, 26, 26, 14, 14]",Fe2Sc4Si2,"[[3.137021173739891, 3.1370211737398903, 3.8871567331752643e-31], [-3.137021173739891, 3.1370211737398903, 3.8871567331764458e-31], [-2.0607279933671593e-44, 7.774313447491363e-31, 6.274042332409753]]","[[0.5, 9.735253840764784e-17, 0.25000000000000006], [2.6570547267844793e-17, 0.4999999999999999, 0.7500000000000003], [1.4202092630005236e-16, 1.5661297229932312e-32, 0.5000000000000001], [0.5, 0.5, 2.938174204036404e-48], [0.5, 4.184138717638996e-17, 0.7500000000000003], [5.432612288347377e-17, 0.4999999999999999, 0.25000000000000006], [1.4202092630005238e-16, 1.4750436269897043e-32, -1.5072781476211693e-63], [0.5, 0.5, 0.5000000000000001]]","[21, 21, 21, 21, 26, 26, 14, 14]",-6.8937883377075195,-0.2777960300445556,0.3442625318254748
4474,Ti2AgTl,full,"[[2.99353062, 2.99353062, -0.0], [-2.99353062, 2.99353062, -0.0], [-0.0, -0.0, 8.36980264]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[22, 22, 22, 22, 47, 47, 81, 81]","[[2.99353062, 2.99353062, -0.0], [-2.99353062, 2.99353062, -0.0], [-0.0, -0.0, 8.36980264]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[22, 22, 22, 22, 47, 47, 81, 81]",Ag2Ti4Tl2,"[[2.9819629011371895, 2.9819629011371895, -1.8035213770649295e-18], [-2.9819629011371895, 2.9819629011371895, -1.8035213770636157e-18], [-4.8149706966244627e-32, -5.173473798136556e-18, 8.43886778277944]]","[[0.5000000000000001, -1.111272417783382e-16, 0.25], [-7.612336342948098e-16, 0.4999999999999998, 0.7500000000000004], [0.5000000000000001, -1.6620466244606658e-16, 0.7500000000000004], [-7.061562136270814e-16, 0.4999999999999997, 0.25], [-1.1087290077982207e-16, -3.747674591597908e-17, 0.5], [0.4999999999999993, 0.49999999999999983, 6.518934911639457e-35], [-7.417482334790061e-17, -7.099387416847211e-33, 2.05630181186214e-50], [0.4999999999999993, 0.49999999999999983, 0.5]]","[22, 22, 22, 22, 47, 47, 81, 81]",-5.168830871582031,0.0463733077049255,0.1073228716850276
4648,TiHfTl,half,"[[2.9350788, 2.9350788, -0.0], [-2.9350788, 2.9350788, -0.0], [-0.0, -0.0, 8.6036456]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[22, 22, 72, 72, 81, 81]","[[2.9350788, 2.9350788, -0.0], [-2.9350788, 2.9350788, -0.0], [-0.0, -0.0, 8.6036456]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[22, 22, 72, 72, 81, 81]",Hf2Ti2Tl2,"[[2.941374310563957, 2.9413743105639565, 3.2091787110557148e-19], [-2.941374310563957, 2.9413743105639565, 3.2091787110557148e-19], [2.1839321612955154e-37, 9.326905664837577e-19, 8.70118260001942]]","[[0.49999999999999983, 1.972573486091696e-16, 0.24999999999999975], [-5.732760807630621e-16, 0.4999999999999994, 0.7499999999999999], [1.0380359109951905e-16, 4.7500424946e-17, 0.4999999999999995], [0.499999999999999, 0.49999999999999983, 4.839554738260592e-35], [7.565200802275957e-17, 6.131540563846128e-33, -3.384279208111034e-51], [0.499999999999999, 0.49999999999999983, 0.4999999999999995]]","[22, 22, 72, 72, 81, 81]",-6.066909154256185,0.6297828091515445,0.6496197912428123
5213,V2ScGe,full,"[[2.68908899, 2.68908899, 0.0], [-2.68908899, 2.68908899, -0.0], [0.0, 0.0, 8.76325533]]","[[0.4999999999999999, 4.128621361188781e-17, 0.25], [0.9999999999999998, 0.4999999999999998, 0.75], [0.4999999999999999, 4.128621361188781e-17, 0.75], [0.9999999999999998, 0.4999999999999998, 0.25], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]","[23, 23, 23, 23, 21, 21, 32, 32]","[[2.68908899, 2.68908899, 0.0], [-2.68908899, 2.68908899, -0.0], [0.0, 0.0, 8.76325533]]","[[0.4999999999999999, 4.128621361188781e-17, 0.25], [0.9999999999999998, 0.4999999999999998, 0.75], [0.4999999999999999, 4.128621361188781e-17, 0.75], [0.9999999999999998, 0.4999999999999998, 0.25], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]","[23, 23, 23, 23, 21, 21, 32, 32]",Ge2Sc2V4,"[[2.6988840329572565, 2.698884032957256, -2.1067484509074908e-19], [-2.698884032957256, 2.6988840329572557, -2.1067484509083897e-19], [-7.303689104048425e-32, -6.856516140261366e-19, 8.777607657666895]]","[[0.49999999999999983, 1.1744502314264164e-16, 0.24999999999999997], [1.0000000000000004, 0.5000000000000008, 0.7499999999999999], [0.49999999999999983, 1.1750853565426248e-16, 0.7499999999999999], [1.0000000000000004, 0.5000000000000008, 0.24999999999999997], [-8.417356637392801e-17, 8.417356637392806e-17, 0.49999999999999994], [0.5, 0.5000000000000002, 1.3879514897424444e-35], [-1.2385864083566336e-16, 4.128621361188777e-17, 1.0554195986760506e-51], [0.5, 0.5000000000000002, 0.49999999999999994]]","[23, 23, 23, 23, 21, 21, 32, 32]",-7.468579292297363,-0.2217968702316284,0.26194877624511714
6267,V2CuGa,inverse,"[[2.6050695, 2.6050695, -0.0], [-2.6050695, 2.6050695, -0.0], [-0.0, -0.0, 7.95543536]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[23, 23, 23, 23, 29, 29, 31, 31]","[[2.6050695, 2.6050695, -0.0], [-2.6050695, 2.6050695, -0.0], [-0.0, -0.0, 7.95543536]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[23, 23, 23, 23, 29, 29, 31, 31]",Cu2Ga2V4,"[[2.611837093624727, 2.611837093624728, -2.5896667031509034e-21], [-2.611837093624727, 2.6118370936247275, -2.5896667031509026e-21], [4.1362633363947036e-42, -7.922439982232178e-21, 7.9883066011827735]]","[[0.4999999999999998, 1.4352703366595508e-16, 0.2500000000000002], [-4.6248392545770923e-17, 0.5000000000000001, 0.7500000000000003], [-3.207549329634065e-17, -1.3839566298185592e-16, 0.5000000000000003], [0.4999999999999997, 0.5000000000000002, 2.7911056388123494e-17], [0.49999999999999983, 1.157722163709735e-16, 0.7500000000000003], [-1.8493575250789343e-17, 0.5, 0.2500000000000002], [4.2617789069549046e-17, -4.2617789069549095e-17, 2.79110563881235e-17], [0.4999999999999998, 0.5000000000000003, 0.5000000000000003]]","[23, 23, 23, 23, 29, 29, 31, 31]",-6.337813377380371,-0.0174657106399536,0.13167905807495112
6594,V2YIn,full,"[[2.97192114, 2.97192114, 0.0], [-2.97192114, 2.97192114, -0.0], [0.0, 0.0, 8.87927478]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[23, 23, 23, 23, 39, 39, 49, 49]","[[2.97192114, 2.97192114, 0.0], [-2.97192114, 2.97192114, -0.0], [0.0, 0.0, 8.87927478]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[23, 23, 23, 23, 39, 39, 49, 49]",In2V4Y2,"[[3.0692812341515268, 3.0692812341515276, -3.215087503809112e-18], [-3.069281234151527, 3.069281234151528, -3.215087503809016e-18], [3.285482504255419e-32, -9.475858823428535e-18, 8.78697028773571]]","[[0.49999999999999956, -2.0694692692513783e-15, 0.25000000000000017], [5.806045178733961e-16, 0.49999999999999944, 0.7499999999999998], [0.49999999999999956, -2.0686974388047258e-15, 0.7499999999999998], [5.798326874267436e-16, 0.49999999999999944, 0.25000000000000017], [-7.457273775791209e-17, 7.457273775791245e-17, 0.5000000000000003], [0.5000000000000003, 0.4999999999999974, -9.76457532833271e-34], [-7.471416449664996e-17, 7.471416449665031e-17, 1.385240939031267e-49], [0.5000000000000003, 0.4999999999999974, 0.5000000000000003]]","[23, 23, 23, 23, 39, 39, 49, 49]",-6.561312675476074,0.2739017009735107,0.5319746335347495
6608,VYSb,half,"[[0.0, 3.37957327, 3.37957327], [3.37957327, 0.0, 3.37957327], [3.37957327, 3.37957327, -0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]","[23, 39, 51]","[[0.0, 3.37957327, 3.37957327], [3.37957327, 0.0, 3.37957327], [3.37957327, 3.37957327, -0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]","[23, 39, 51]",SbVY,"[[-6.172611069689764e-20, 3.38077487290267, 3.38077487290267], [3.38077487290267, 2.5369473193198665e-19, 3.38077487290267], [3.38077487290267, 3.38077487290267, 3.581117056563465e-22]]","[[0.2499999999999998, 0.2499999999999998, 0.25000000000000083], [0.4999999999999996, 0.4999999999999996, 0.5000000000000017], [-5.497662054843159e-42, -6.642421113576439e-42, -6.126580311688339e-42]]","[23, 39, 51]",-6.625430425008138,-0.0804276996188697,0.7089405059814455
7891,V2PtBi,full,"[[2.81512646, 2.81512646, 0.0], [-2.81512646, 2.81512646, 0.0], [0.0, 0.0, 8.42379091]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[23, 23, 23, 23, 78, 78, 83, 83]","[[2.81512646, 2.81512646, 0.0], [-2.81512646, 2.81512646, 0.0], [0.0, 0.0, 8.42379091]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[23, 23, 23, 23, 78, 78, 83, 83]",Bi2Pt2V4,"[[2.86161824604852, 2.8616182460485198, -5.272243750146698e-18], [-2.8616182460485207, 2.8616182460485198, -5.272243750146643e-18], [1.6843440607348375e-32, -1.573626307991841e-17, 8.338347375189059]]","[[0.49999999999999933, -4.915794187132905e-16, 0.2500000000000001], [1.3146380257141967e-16, 0.4999999999999999, 0.750000000000001], [0.4999999999999993, -4.624490734981833e-16, 0.750000000000001], [7.457788174068367e-17, 0.49999999999999994, 0.2500000000000001], [2.7885638984570093e-17, 1.2986543051802784e-16, 0.5000000000000002], [0.4999999999999995, 0.4999999999999994, -6.454850141471547e-34], [-3.94377673756495e-17, 3.943776737564959e-17, 4.600007557138452e-50], [0.49999999999999944, 0.49999999999999933, 0.5000000000000002]]","[23, 23, 23, 23, 78, 78, 83, 83]",-6.947915554046631,0.0687421560287475,0.4136031866073608
8391,Cr3Ge,full,"[[2.93353334, 2.93353334, 0.0], [-2.93353334, 2.93353334, 0.0], [-0.0, -0.0, 5.85432977]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[24, 24, 24, 24, 24, 24, 32, 32]","[[2.93353334, 2.93353334, 0.0], [-2.93353334, 2.93353334, 0.0], [-0.0, -0.0, 5.85432977]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[24, 24, 24, 24, 24, 24, 32, 32]",Cr6Ge2,"[[2.9312641114646385, 2.931264111464635, -1.0315568226476513e-20], [-2.931264111464638, 2.9312641114646345, -1.0315568226477236e-20], [-3.689596967411109e-33, -2.0673932329342683e-20, 5.862529863173217]]","[[0.5, 2.7566646965711116e-17, 0.25], [2.4764178861894888e-17, 0.5000000000000001, 0.7500000000000002], [0.4999999999999999, 1.108351370392761e-16, 0.7500000000000002], [7.126494421032318e-18, 0.5000000000000001, 0.25], [5.19423694847744e-17, 5.1942369484774406e-17, 0.5], [0.5, 0.5000000000000002, 1.1137193992208135e-36], [5.1942369484774424e-17, 5.194236948477443e-17, -6.111732109395414e-53], [0.5, 0.5000000000000002, 0.5]]","[24, 24, 24, 24, 24, 24, 32, 32]",-8.304211616516113,0.0430896282196044,0.1638879776000975
8734,Cr2FeBi,inverse,"[[2.81931874, 2.81931874, -0.0], [-2.81931874, 2.81931874, -0.0], [-0.0, -0.0, 7.89067659]]","[[0.4999999999999999, 3.9379124072546565e-17, 0.25], [0.9999999999999999, 0.49999999999999983, 0.75], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.4999999999999999, 3.9379124072546565e-17, 0.75], [0.9999999999999999, 0.49999999999999983, 0.25], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]","[24, 24, 24, 24, 26, 26, 83, 83]","[[2.81931874, 2.81931874, -0.0], [-2.81931874, 2.81931874, -0.0], [-0.0, -0.0, 7.89067659]]","[[0.4999999999999999, 3.9379124072546565e-17, 0.25], [0.9999999999999999, 0.49999999999999983, 0.75], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.4999999999999999, 3.9379124072546565e-17, 0.75], [0.9999999999999999, 0.49999999999999983, 0.25], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]","[24, 24, 24, 24, 26, 26, 83, 83]",Bi2Cr4Fe2,"[[2.8642469521398493, 2.8642469521398426, -1.7777581086914445e-29], [-2.8642469521398497, 2.864246952139843, -1.777758108691445e-29], [-8.408660227772947e-47, -4.991841528078307e-29, 8.225971350168603]]","[[0.4999999999999997, -4.3436724702051313e-16, 0.25], [0.9999999999999992, 0.49999999999999895, 0.75], [-4.034522013920148e-17, 1.9786171642938775e-16, 0.5], [0.4999999999999997, 0.4999999999999998, -7.885800065172562e-46], [0.4999999999999997, -3.788560957892509e-16, 0.75], [0.9999999999999992, 0.49999999999999895, 0.25], [-1.5751649629018628e-16, 7.87582481450933e-17, 4.5336768972568135e-61], [0.49999999999999956, 0.4999999999999996, 0.5]]","[24, 24, 24, 24, 26, 26, 83, 83]",-7.266389846801758,0.6233967542648315,0.6233967542648315
