,element number,composition,cell,positions,numbers,material_id,MP Formation energy (eV/atom),MP Hull distance (eV/atom),natoms,spacegroup
0,1,H,"[[3.84013018, 0.0, 0.0], [-1.92006509, 3.32565085, 0.0], [0.0, 0.0, 5.04666155]]","[[0.333333, 0.666667, 0.17649588], [0.666667, 0.333333, 0.67649588], [0.666667, 0.333333, 0.8235041200000001], [0.333333, 0.666667, 0.32350412]]","[1, 1, 1, 1]",mp-24504,0.0,0.0,4.0,P6_3/mmc
1,2,He,"[[-1.62908904, 1.62908904, 1.62908904], [1.62908904, -1.62908904, 1.62908904], [1.62908904, 1.62908904, -1.62908904]]","[[-0.0, -0.0, -0.0]]",[2],mp-23158,0.0,0.0,1.0,Im-3m
2,3,Li,"[[-1.539337269999999, -2.66621007, 0.0], [-3.07867244, -3.0000000000000004e-08, 0.0], [-1.53933724, -0.88873703, -7.45647799]]","[[0.77702792, 0.77702792, 0.66891525], [0.22297208000000002, 0.22297208000000002, 0.33108475], [-0.0, 0.0, 0.0]]","[3, 3, 3]",mp-1018134,0.0,0.0,3.0,R-3m
3,4,Be,"[[3.574102459999999, 0.0, 0.0], [0.0, 3.92001285, 0.0], [0.0, 0.0, 2.26946274]]","[[0.75000846, 0.33304792, 0.24982156], [0.24999154, 0.6669520800000001, 0.24982156], [0.25000846, 0.16695208, 0.75017844], [0.74999154, 0.83304792, 0.75017844]]","[4, 4, 4, 4]",mp-87,0.0,0.0,4.0,P6_3/mmc
4,5,B,"[[4.2804641, -0.00172243, 2.66533213], [1.47931971, 4.01671422, 2.66533213], [-0.00247162, -0.00172244, 5.04245687]]","[[0.00997004, 0.65428512, 0.00997004], [0.00997004, 0.00997004, 0.65428512], [0.65428512, 0.00997004, 0.00997004], [0.34571488, 0.99002996, 0.99002996], [0.99002996, 0.34571488, 0.99002996], [0.99002996, 0.99002996, 0.34571488], [0.22056557000000002, 0.63163483, 0.22056557000000002], [0.22056557000000002, 0.22056557000000002, 0.63163483], [0.63163483, 0.22056557000000002, 0.22056557000000002], [0.36836517, 0.77943443, 0.77943443], [0.77943443, 0.36836517, 0.77943443], [0.77943443, 0.77943443, 0.36836517]]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",mp-160,0.0,0.0,12.0,R-3m
5,6,C,"[[7.203240214085505, -1.228134331420671, -0.277186993839978], [7.203240214085505, 1.228134331420671, -0.277186993839978], [7.075555259312331, 1e-16, 1.84616764954899]]","[[0.9186004094339991, 0.9186004094339991, 0.9186004094401091], [0.25194153426548305, 0.25194153426548305, 0.251941534267246], [0.7480584657345161, 0.7480584657345161, 0.748058465732754], [0.081399590566, 0.081399590566, 0.08139959055989]]","[6, 6, 6, 6]",mp-2516584,0.0,0.0,4.0,R-3m
6,7,N,"[[5.56051766, -0.0, -0.0], [0.0, 5.56051766, 0.0], [0.0, 0.0, 5.56051766]]","[[0.05739733, 0.05739733, 0.05739733], [0.44260267000000003, 0.94260267, 0.55739733], [0.55739733, 0.44260267000000003, 0.94260267], [0.94260267, 0.55739733, 0.44260267000000003], [0.94260267, 0.94260267, 0.94260267], [0.55739733, 0.05739733, 0.44260267000000003], [0.44260267000000003, 0.55739733, 0.05739733], [0.05739733, 0.44260267000000003, 0.55739733]]","[7, 7, 7, 7, 7, 7, 7, 7]",mp-25,0.0,0.0,8.0,Pa-3
7,8,O,"[[3.110107, 4.377428, 0.0], [-3.110107, 4.377428, 0.0], [0.0, 1.908312, 3.953345]]","[[0.726541, 0.213911, 0.155391], [0.786088999999999, 0.273459, 0.844608999999999], [0.273459, 0.786088999999999, 0.844608999999999], [0.213911, 0.726541, 0.155391], [0.792252, 0.792252, 0.17832], [0.207748, 0.207748, 0.8216800000000001], [0.851777999999999, 0.851777999999999, 0.867359], [0.148222, 0.148222, 0.132640999999999]]","[8, 8, 8, 8, 8, 8, 8, 8]",mp-12957,0.0,0.0,8.0,C2/m
8,9,F,"[[3.00504724, 0.05221899, -0.10437729], [-1.38237602, 2.66871971, 0.10437729], [-0.25100384, 0.14969122, 6.6151584]]","[[0.91533597, 0.40416712, 0.5979555], [0.40416712, 0.91533597, 0.902044499999999], [0.08466403, 0.59583288, 0.402044499999999], [0.59583288, 0.08466403, 0.0979555]]","[9, 9, 9, 9]",mp-561203,0.0,0.0,4.0,C2/c
9,10,Ne,"[[2.56891323, 1e-08, 1.48316277], [0.8563044200000001, 2.42199625, 1.48316277], [2e-08, 1e-08, 2.96632748]]","[[0.0, 0.0, -0.0]]",[10],mp-111,0.0,0.0,1.0,Fm-3m
10,11,Na,"[[6.50243116, 6.50243116, 6.50243116], [6.50243116, -6.50243116, -6.50243116], [-6.50243116, 6.50243116, -6.50243116]]","[[0.0, -0.0, -0.0], [0.63571982, -0.0, -0.0], [0.37456797000000003, 0.18981842000000002, -0.0], [0.18981842000000002, 0.37456797000000003, -0.0], [0.6822743800000001, 0.40568274, 0.0], [-0.0, 0.63571982, -0.0], [0.40568274, 0.6822743800000001, 0.0], [0.8101815800000001, 0.8101815800000001, 0.18474956], [0.37456797000000003, -0.0, 0.18981842000000002], [-0.0, 0.37456797000000003, 0.18981842000000002], [0.59431726, 0.59431726, 0.27659264], [0.72340636, 0.31772562, 0.31772562], [0.31772562, 0.72340636, 0.31772562], [0.36428018, 0.36428018, 0.36428018], [0.18981842000000002, -0.0, 0.37456797000000003], [0.0, 0.18981842000000002, 0.37456797000000003], [0.6822743800000001, -0.0, 0.40568274], [-0.0, 0.6822743800000001, 0.40568274], [0.59431726, 0.27659264, 0.59431726], [0.27659264, 0.59431726, 0.59431726], [0.81525044, 0.62543103, 0.62543103], [0.62543103, 0.81525044, 0.62543103], [0.0, 0.0, 0.63571982], [0.40568274, 0.0, 0.6822743800000001], [-0.0, 0.40568274, 0.6822743800000001], [0.31772562, 0.31772562, 0.72340636], [0.8101815800000001, 0.18474956, 0.8101815800000001], [0.18474956, 0.8101815800000001, 0.8101815800000001], [0.62543103, 0.62543103, 0.81525044]]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",mp-1186081,0.0,0.0,29.0,I-43m
11,12,Mg,"[[-2.244256, -2.244256, 0.0], [-2.244256, 0.0, -2.244256], [0.0, -2.244256, -2.244256]]","[[0.0, 0.0, 0.0]]",[12],mp-1056702,0.0,0.0,1.0,Fm-3m
12,13,Al,"[[2.473329, 0.0, 1.427977], [0.824442999999999, 2.331877, 1.427977], [0.0, 0.0, 2.855955]]","[[0.0, 0.0, 0.0]]",[13],mp-134,0.0,0.0,1.0,Fm-3m
