,composition,Formation Energy (eV/atom)
0,Ac4,0.0
1,AcAg,-0.26945
2,Ac2Ag2As4,-0.74409
3,Ac2Ag2Bi4,-0.54596
4,CaAcInAg,-0.38858
5,CaAcAgPb,-0.44823
6,Ac2Cd4Ag2,-0.29987
7,AcEuAgPb,-0.43968
8,AcEuAgSn,-0.52382
9,AcAgGe,-0.55937
10,AcAgHg,-0.38512
11,Ac3In3Ag3,-0.40703
12,Ac2Mg4Ag2,-0.23561
13,Ac3Ag3O6,-2.20815
14,Ac4Ag4O12,-1.75158
15,AcAgPb,-0.38307
16,Ac2Ag2Pd2,-0.59041
17,Ac2Ag2Sb4,-0.70469
18,AcAgSn,-0.57641
19,AcAgTe2,-0.88527
20,AcZnAg,-0.32634
21,Ac2Ag4,-0.31939
22,AcAg2Ge2,-0.44795
23,Li2AcAg2,-0.232
24,Ac2Mg8Ag4,-0.22824
25,Ac2Ag4Pd2,-0.45109
26,AcSi2Ag2,-0.36776
27,Ac2Ag4Sn4,-0.44638
28,Ac2Ag6,-0.2756
29,AcCdAg4,-0.20563
30,AcCd8Ag4,-0.18501
31,AcAg4Hg,-0.22249
32,AcInAg4,-0.22636
33,AcPmAg4,-0.29474
34,AcTlAg4,-0.19512
35,AcIn6Ag6,-0.188
36,AcAl4Ag8,-0.22044
37,AcZn4Ag8,-0.16207
38,Ac2Al2Br2,-1.17389
39,AcAlGa,-0.47129
40,AcAlGe,-0.56735
41,Ac2Al2I2,-0.99258
42,Ac2Al2In2,-0.42775
43,Ac4Al4Ir4,-0.73042
44,AcAlO3,-3.35729
45,AcAlPd2,-0.83126
46,Ac4Al4Pt4,-0.95944
47,Ac4Al4Pt8,-1.10707
48,AcAlSi,-0.46758
49,Ac2Al2Zn2,-0.34597
50,Ac2Al4,-0.31212
51,Ac2Al4Au4,-0.71982
52,Ac2Al4Au6,-0.69306
53,AcAl2Cd2,-0.28756
54,Ac2Al4Cu2,-0.35828
55,Ac2Al4Cu6,-0.32228
56,AcAl2Ga2,-0.41647
57,Ac2Al4Ir2,-0.76301
58,Ac2Al4Ir4,-0.82244
59,Li4Ac4Al8,-0.24158
60,Ac2Al4Ni2,-0.51232
61,Ac2Al4Pd2,-0.68029
62,Ac2Al4Pt2,-0.86705
63,Ac2Al4Rh2,-0.75403
64,Ac2Al6,-0.35845
65,Ac2Al6Cu4,-0.34692
66,Ac2Al6Ni4,-0.52865
67,Ac2Al6Pd4,-0.73858
68,Sr2Ac2Al6,-0.28862
69,AcAl4,-0.306
70,Ac2Al8Co2,-0.45053
71,AcEuAl4,-0.36713
