,composition,Energy (eV/atom)
0,Ac,-4.089539527893066
1,Ag,-2.8229500452677407
2,Al,-3.719193935394287
3,Ar,-0.0158679857850074
4,As,-4.640602111816406
5,Au,-3.2623519897460938
6,B,-6.6307112375895185
7,Ba,-1.823901653289795
8,Be,-3.711925983428955
9,Bi,-3.860161066055298
10,Br,-1.5936079025268557
11,C,-9.2133150100708
12,Ca,-1.98797607421875
13,Cd,-0.8994404077529907
14,Ce,-5.618958473205566
15,Cl,-1.8152426481246948
16,Co,-7.072948932647705
17,Cr,-9.498546600341797
18,Cs,-0.846550464630127
19,Cu,-4.096203804016113
20,Dy,-4.586884498596191
21,Er,-4.55570125579834
22,Eu,-10.234878540039062
23,F,-1.6839007139205933
24,Fe,-8.363046646118164
25,Ga,-3.0227653980255127
26,Gd,-14.054889678955078
27,Ge,-4.577589988708496
28,H,-3.3347771167755127
29,He,-0.0411422252655029
30,Hf,-9.952360153198242
31,Hg,-0.286473668854812
32,Ho,-4.569047292073567
33,I,-1.4895050525665283
34,In,-2.712270736694336
35,Ir,-8.860224723815918
36,K,-1.0693328380584717
37,Kr,-0.0003080368041992
38,La,-4.918990135192871
39,Li,-1.901168982187907
40,Lu,-4.524667739868164
41,Mg,-1.604513963063558
42,Mn,-9.105420342807111
43,Mo,-10.683664321899414
44,N,-8.26082706451416
45,Na,-1.297426462173462
46,Nb,-10.094292640686035
47,Nd,-4.750611305236816
48,Ne,-0.0292157288640737
49,Ni,-5.768416404724121
50,Np,-12.943018913269045
51,O,-4.839532852172852
52,Os,-11.209268569946287
53,P,-5.399544488816034
54,Pa,-9.48507595062256
55,Pb,-3.6904706954956055
56,Pd,-5.183906078338623
57,Pm,-4.733579158782959
58,Pr,-4.76279878616333
59,Pt,-6.057697772979736
60,Pu,-14.26763153076172
61,Rb,-0.9447954495747884
62,Re,-12.43682098388672
63,Rh,-7.337055683135986
64,Ru,-9.262125015258787
65,S,-4.116626103719075
66,Sb,-4.105946222941081
67,Sc,-6.282393455505371
68,Se,-3.4621432622273765
69,Si,-5.40296745300293
70,Sm,-4.698672294616699
71,Sn,-3.9688796997070312
72,Sr,-1.6751909255981443
73,Ta,-11.837772369384766
74,Tb,-4.617514928181966
75,Tc,-10.359861373901367
76,Te,-3.088968276977539
77,Th,-7.410784721374512
78,Ti,-7.813922882080078
79,Tl,-2.3430309295654297
80,Tm,-4.4679412841796875
81,U,-11.194732666015623
82,V,-9.076742172241213
83,W,-12.759862899780272
84,Xe,0.007547378540039
85,Y,-6.449743270874023
86,Yb,-1.5025689601898191
87,Zn,-1.25510573387146
88,Zr,-8.57098134358724
