,composition,Formation Energy (eV/atom)
0,Ac4,0.0
1,AcAg,-0.26507
2,Ac2Ag2As4,-0.79373
3,Ac2Ag2Bi4,-0.54044
4,CaAcInAg,-0.39489
5,CaAcAgPb,-0.45171
6,Ac2Cd4Ag2,-0.31059
7,AcEuAgPb,-0.4325
8,AcEuAgSn,-0.51043
9,AcAgGe,-0.55196
10,AcAgHg,-0.39679
11,Ac3In3Ag3,-0.43323
12,Ac2Mg4Ag2,-0.2619
13,Ac3Ag3O6,-2.24739
14,Ac4Ag4O12,-1.74853
15,AcAgPb,-0.35529
16,Ac2Ag2Pd2,-0.60616
17,Ac2Ag2Sb4,-0.66587
18,AcAgSn,-0.55194
19,AcAgTe2,-0.84528
20,AcZnAg,-0.32682
21,Ac2Ag4,-0.32001
22,AcAg2Ge2,-0.42748
23,Li2AcAg2,-0.20479
24,Ac2Mg8Ag4,-0.23542
25,Ac2Ag4Pd2,-0.45996
26,AcSi2Ag2,-0.39296
27,Ac2Ag4Sn4,-0.38649
28,Ac2Ag6,-0.27083
29,AcCdAg4,-0.20786
30,AcCd8Ag4,-0.19209
31,AcAg4Hg,-0.21559
32,AcInAg4,-0.22973
33,AcPmAg4,-0.31967
34,AcTlAg4,-0.19155
35,AcIn6Ag6,-0.19276
36,AcAl4Ag8,-0.23533
37,AcZn4Ag8,-0.17792
38,Ac2Al2Br2,-1.19664
39,AcAlGa,-0.58624
40,AcAlGe,-0.65605
41,Ac2Al2I2,-0.93831
42,Ac2Al2In2,-0.44436
43,Ac4Al4Ir4,-0.71614
44,AcAlO3,-3.35678
45,AcAlPd2,-0.90559
46,Ac4Al4Pt4,-1.00733
47,Ac4Al4Pt8,-1.12516
48,AcAlSi,-0.6349
49,Ac2Al2Zn2,-0.35389
50,Ac2Al4,-0.37592
51,Ac2Al4Au4,-0.72655
52,Ac2Al4Au6,-0.69079
53,AcAl2Cd2,-0.32918
54,Ac2Al4Cu2,-0.38353
55,Ac2Al4Cu6,-0.33019
56,AcAl2Ga2,-0.47417
57,Ac2Al4Ir2,-0.77361
58,Ac2Al4Ir4,-0.86955
59,Li4Ac4Al8,-0.26519
60,Ac2Al4Ni2,-0.54373
61,Ac2Al4Pd2,-0.71245
62,Ac2Al4Pt2,-0.90817
63,Ac2Al4Rh2,-0.73678
64,Ac2Al6,-0.39116
65,Ac2Al6Cu4,-0.3979
66,Ac2Al6Ni4,-0.58654
67,Ac2Al6Pd4,-0.77848
68,Sr2Ac2Al6,-0.29928
69,AcAl4,-0.32256
70,Ac2Al8Co2,-0.47766
71,AcEuAl4,-0.41315
72,Ac2Al8Fe2,-0.38766
73,AcAl5Cu2,-0.39619
74,AcAl5Ir2,-0.8182
75,AcAl5Ni2,-0.60679
76,AcAl5Pd2,-0.74468
77,AcAl5Pt2,-0.93722
78,AcAl5Rh2,-0.79987
79,AcAl6Pd,-0.46562
80,AcAl6Pt,-0.57186
81,AcAl9Co2,-0.48224
82,AcAl9Fe2,-0.39275
83,AcAs,-1.52313
84,Ac2Cd2As2O2,-1.77493
85,Ac2Cr2As2O2,-1.29722
86,Ac2Cu2As2O2,-1.74644
87,Ac2As2Ir2O2,-1.7762
88,LiAcAs,-0.98989
89,Ac2Mn2As2O2,-1.40218
90,Ac2Nb2As2O2,-1.81967
91,Ac2As2Pd2O2,-1.61381
92,Ac2As2Pt2O2,-1.6212
93,Ac2As2Rh2O2,-1.71233
94,Ac2As2Ru2O2,-1.87379
95,Ac2Tc2As2O2,-1.76093
96,Ac2V2As2O2,-1.54489
97,Ac2Zn2As2O2,-1.86562
98,Ac2As2O8,-2.44344
99,AcAsPd,-1.21916
100,AcAsRh,-1.12699
101,Ac2As2S2,-1.59672
102,Ac2Cu2As4,-0.82205
103,Ac2Ni4As4,-0.79051
104,Ac2As4Pd4,-0.90116
105,Ac2As4Pd8,-0.75416
106,Ac2As4Rh4,-0.95233
107,AcAs2Ru2,-0.74696
108,AcAu,-0.75908
109,Ac2Cd4Au2,-0.50606
110,AcCuAu,-0.57701
111,Ac2Ga2Au2,-0.73507
112,AcGeAu,-0.8105
113,Ac2H2Au2,-0.70248
114,Ac2Hg2Au2,-0.65222
115,Ac2La4Au2,-0.44593
116,Ac4Mg4Au4,-0.62708
117,Ac2Mg4Au2,-0.51276
118,Ac2Au2O4,-2.20329
119,Ac4Au4O12,-1.87607
120,Ac2P2Au2,-1.01844
121,AcPbAu,-0.64822
122,AcPdAu,-0.83324
123,Ac2Pt2Au2,-0.91406
124,Ac4Au4S8,-1.4052
125,AcSbAu,-0.94324
126,Ac2Sb4Au2,-0.68308
127,Ac2Sc2Au2,-0.6212
128,AcSiAu,-0.75604
129,AcSnAu,-0.77638
130,Ac4Te8Au4,-1.01708
131,AcZnAu,-0.63295
132,AcPd2Au10,-0.26379
133,AcAu2,-0.82717
134,AcCd5Au2,-0.38818
135,Ac2Ga4Au4,-0.68299
136,Ac2Ge4Au4,-0.59961
137,AcIn2Au2,-0.6088
138,Li2AcAu2,-0.64006
139,Li8Ac2Au4,-0.50412
140,Ac2Mg8Au4,-0.52126
141,Ac2Sn4Au4,-0.59434
142,AcZn2Au2,-0.57451
143,Ac2Au6,-0.70939
144,Ac2Zn4Au6,-0.56985
145,AcCd2Au4,-0.55569
146,AcLaAu4,-0.82647
147,Li2AcAu4,-0.68641
148,AcMg2Au4,-0.68961
149,AcSi2Au4,-0.49877
150,AcCu4Au8,-0.25909
151,AcBi2Au9,-0.26743
152,Ac4B4Ir4,-0.5311
153,Ac2B2N2,-0.99061
154,Ac2B2O6,-3.09467
155,AcBRh3,-0.667
156,AcB12,-0.09738
157,Ac2B4Ir4,-0.62334
158,Ac2B4Os4,-0.34036
159,Ac2B4Pt12,-0.5609
160,Ac2B4Rh4,-0.59109
161,Ac2B4Ru4,-0.41695
162,AcNbB4,-0.31335
163,AcPmB4,-0.14532
164,AcTaB4,-0.30612
165,AcCo12B6,-0.34183
166,AcB6Ir12,-0.30974
167,AcNi12B6,-0.3809
168,AcB6Rh12,-0.43935
169,BaAcHg4,-0.49298
170,Ba2Ac2Si6,-0.51791
171,Ba2AcCd3,-0.33722
172,Ba2AcHg3,-0.53841
173,Ba2AcIrO6,-2.298
174,Ba2AcRuO6,-2.36793
175,Ba2AcSbO6,-2.61317
176,Ba4AcCd5,-0.34671
177,Ba4AcHg5,-0.54777
178,Ba5AcS6,-2.12022
179,Ba5AcSe6,-2.08678
180,AcBeGe,-0.51248
181,Ac2Be2Pd6,-0.72118
182,AcBeSi,-0.37483
183,AcBi,-0.96455
184,LiAcBi,-0.69059
185,Ac2Bi2O8,-2.05706
186,AcBiPd,-0.87724
187,AcBiPt,-0.94337
188,Ac2Bi2Se2,-1.39145
189,Ac2Sn2Bi2,-0.62719
190,Li2Ac2Bi4,-0.69029
191,Ac2Bi4Pd4,-0.666
