,composition,Energy (eV/atom)
0,Ac,-4.1031951904296875
1,Ag,-2.825756072998047
2,Al,-3.715919017791748
3,Ar,-0.0228832326829433
4,As,-4.641045093536377
5,Au,-3.2663793563842773
6,B,-6.668162027994792
7,Ba,-1.863339900970459
8,Be,-3.70507287979126
9,Bi,-3.880091667175293
10,Br,-1.6035491228103638
11,C,-9.213179588317873
12,Ca,-1.9956350326538088
13,Cd,-0.8984241485595703
14,Ce,-5.612405776977539
15,Cl,-1.8207521438598633
16,Co,-7.052889823913574
17,Cr,-9.541325569152832
18,Cs,-0.8447164297103882
19,Cu,-4.09206485748291
20,Dy,-4.584476788838704
21,Er,-4.559039115905762
22,Eu,-10.240164756774902
23,F,-1.6555172204971311
24,Fe,-8.365583419799805
25,Ga,-3.030695676803589
26,Gd,-14.043289184570312
27,Ge,-4.608668327331543
28,H,-3.327948093414306
29,He,-0.012592077255249
30,Hf,-9.94855499267578
31,Hg,-0.2833250308858937
32,Ho,-4.562339464823405
33,I,-1.5289777517318726
34,In,-2.7137842178344727
35,Ir,-8.858640670776367
36,K,-1.0634546279907229
37,Kr,-0.0013995170593261
38,La,-4.9059624671936035
39,Li,-1.8953606287638347
40,Lu,-4.524051189422607
41,Mg,-1.6052738825480144
42,Mn,-9.145605679216056
43,Mo,-10.78775405883789
44,N,-8.237232208251953
45,Na,-1.2930383682250977
46,Nb,-10.095107078552246
47,Nd,-4.740182399749756
48,Ne,-0.028173130005598
49,Ni,-5.753373146057129
50,Np,-12.94125270843506
51,O,-4.8424248695373535
52,Os,-11.221231460571287
53,P,-5.398639860607329
54,Pa,-9.511292457580566
55,Pb,-3.6935617923736577
56,Pd,-5.1824846267700195
57,Pm,-4.727555751800537
58,Pr,-4.755882263183594
59,Pt,-6.044581890106201
60,Pu,-14.259244918823242
61,Rb,-0.9414775371551514
62,Re,-12.44121265411377
63,Rh,-7.335332870483398
64,Ru,-9.268248558044434
65,S,-4.114362398783366
66,Sb,-4.119975407918294
67,Sc,-6.310759544372559
68,Se,-3.4807612101236978
69,Si,-5.424295425415039
70,Sm,-4.6917524337768555
71,Sn,-4.0010480880737305
72,Sr,-1.6791212558746338
73,Ta,-11.856616020202637
74,Tb,-4.611819585164388
75,Tc,-10.36080551147461
76,Te,-3.1199957529703775
77,Th,-7.416336059570312
78,Ti,-7.809683481852214
79,Tl,-2.347370862960815
80,Tm,-4.4719109535217285
81,U,-11.289920806884766
82,V,-9.077698707580566
83,W,-12.90981101989746
84,Xe,0.0004663467407226
85,Y,-6.454490661621094
86,Yb,-1.5100607872009275
87,Zn,-1.256770133972168
88,Zr,-8.54875628153483
