,composition,Formation Energy (eV/atom)
0,Ac4,0.0
1,AcAg,-0.276
2,Ac2Ag2As4,-0.75893
3,Ac2Ag2Bi4,-0.57916
4,CaAcInAg,-0.40057
5,CaAcAgPb,-0.47705
6,Ac2Cd4Ag2,-0.32608
7,AcEuAgPb,-0.46562
8,AcEuAgSn,-0.54406
9,AcAgGe,-0.56705
10,AcAgHg,-0.41996
11,Ac3In3Ag3,-0.41932
12,Ac2Mg4Ag2,-0.23074
13,Ac3Ag3O6,-2.22077
14,Ac4Ag4O12,-1.77714
15,AcAgPb,-0.41728
16,Ac2Ag2Pd2,-0.59929
17,Ac2Ag2Sb4,-0.71042
18,AcAgSn,-0.5752
19,AcAgTe2,-0.833
20,AcZnAg,-0.32821
21,Ac2Ag4,-0.32523
22,AcAg2Ge2,-0.46042
23,Li2AcAg2,-0.23002
24,Ac2Mg8Ag4,-0.22882
25,Ac2Ag4Pd2,-0.45497
26,AcSi2Ag2,-0.4227
27,Ac2Ag4Sn4,-0.443
28,Ac2Ag6,-0.27444
29,AcCdAg4,-0.23474
30,AcCd8Ag4,-0.17303
31,AcAg4Hg,-0.2417
32,AcInAg4,-0.2597
33,AcPmAg4,-0.30471
34,AcTlAg4,-0.22629
35,AcIn6Ag6,-0.20011
36,AcAl4Ag8,-0.21157
37,AcZn4Ag8,-0.15927
38,Ac2Al2Br2,-1.17733
39,AcAlGa,-0.54508
40,AcAlGe,-0.62949
41,Ac2Al2I2,-0.97243
42,Ac2Al2In2,-0.43958
43,Ac4Al4Ir4,-0.73752
44,AcAlO3,-3.35277
45,AcAlPd2,-0.8785
46,Ac4Al4Pt4,-1.00266
47,Ac4Al4Pt8,-1.14524
48,AcAlSi,-0.58333
49,Ac2Al2Zn2,-0.35497
50,Ac2Al4,-0.36773
51,Ac2Al4Au4,-0.74111
52,Ac2Al4Au6,-0.70953
53,AcAl2Cd2,-0.3249
54,Ac2Al4Cu2,-0.36295
55,Ac2Al4Cu6,-0.34389
56,AcAl2Ga2,-0.44692
57,Ac2Al4Ir2,-0.74538
58,Ac2Al4Ir4,-0.82029
59,Li4Ac4Al8,-0.27767
60,Ac2Al4Ni2,-0.51899
61,Ac2Al4Pd2,-0.69458
62,Ac2Al4Pt2,-0.88255
63,Ac2Al4Rh2,-0.7376
64,Ac2Al6,-0.35469
65,Ac2Al6Cu4,-0.35418
66,Ac2Al6Ni4,-0.57032
67,Ac2Al6Pd4,-0.77355
68,Sr2Ac2Al6,-0.30645
69,AcAl4,-0.32656
70,Ac2Al8Co2,-0.44973
71,AcEuAl4,-0.38262
72,Ac2Al8Fe2,-0.37179
73,AcAl5Cu2,-0.34842
74,AcAl5Ir2,-0.76552
75,AcAl5Ni2,-0.57635
76,AcAl5Pd2,-0.69932
77,AcAl5Pt2,-0.88141
78,AcAl5Rh2,-0.76063
79,AcAl6Pd,-0.4731
80,AcAl6Pt,-0.56655
