,composition,Energy (eV/atom)
0,Ac,-4.100033283233643
1,Ag,-2.824151357014974
2,Al,-3.741929054260254
3,Ar,0.0371536016464233
4,As,-4.660186290740967
5,Au,-3.2652323246002197
6,B,-6.676380793253581
7,Ba,-1.9169710874557495
8,Be,-3.737517118453979
9,Bi,-3.863977432250977
10,Br,-1.6034876108169556
11,C,-9.21751594543457
12,Ca,-1.9914286136627195
13,Cd,-0.9056522846221924
14,Ce,-5.630373001098633
15,Cl,-1.8149927854537964
16,Co,-7.106236457824707
17,Cr,-9.62736701965332
18,Cs,-0.8580951690673828
19,Cu,-4.097471237182617
20,Dy,-4.595743815104167
21,Er,-4.557621002197266
22,Eu,-10.23842430114746
23,F,-1.6017801761627195
24,Fe,-8.451652526855469
25,Ga,-3.029480457305908
26,Gd,-14.03856372833252
27,Ge,-4.601934432983398
28,H,-3.294386386871338
29,He,-0.0023446083068847
30,Hf,-9.95395278930664
31,Hg,-0.2915547469566608
32,Ho,-4.570433298746745
33,I,-1.5415763854980469
34,In,-2.720257520675659
35,Ir,-8.863225936889648
36,K,-1.0955549478530884
37,Kr,-0.0006725788116455
38,La,-4.922593116760254
39,Li,-1.8997495969136555
40,Lu,-4.520021438598633
41,Mg,-1.601353645324707
42,Mn,-9.151935445851294
43,Mo,-10.837420463562012
44,N,-8.237316131591797
45,Na,-1.3004406690597534
46,Nb,-10.090248107910156
47,Nd,-4.765026092529297
48,Ne,-0.0254126787185668
49,Ni,-5.778564453125
50,Np,-12.941462516784668
51,O,-4.820755481719971
52,Os,-11.2205171585083
53,P,-5.402670724051339
54,Pa,-9.49005126953125
55,Pb,-3.703059196472168
56,Pd,-5.185525894165039
57,Pm,-4.746161937713623
58,Pr,-4.7774457931518555
59,Pt,-6.051443099975586
60,Pu,-14.307496070861816
61,Rb,-0.9624325434366862
62,Re,-12.435659408569336
63,Rh,-7.334658622741699
64,Ru,-9.271419525146484
65,S,-4.11731497446696
66,Sb,-4.118958791097005
67,Sc,-6.328300476074219
68,Se,-3.483201662699382
69,Si,-5.423229217529297
70,Sm,-4.717433929443359
71,Sn,-3.9968199729919434
72,Sr,-1.6823383569717407
73,Ta,-11.849205017089844
74,Tb,-4.624215443929036
75,Tc,-10.35568618774414
76,Te,-3.1411660512288413
77,Th,-7.409298896789551
78,Ti,-7.882148106892903
79,Tl,-2.348777532577514
80,Tm,-4.4708638191223145
81,U,-11.304720878601074
82,V,-9.085887908935549
83,W,-12.950654029846191
84,Xe,0.0027751922607421
85,Y,-6.461182117462158
86,Yb,-1.5051841735839844
87,Zn,-1.270761251449585
88,Zr,-8.546412150065104
