,composition,Formation Energy (eV/atom)
0,Ac4,0.0
1,AcAg,-0.29119
2,Ac2Ag2As4,-0.83161
3,Ac2Ag2Bi4,-0.56736
4,CaAcInAg,-0.40753
5,CaAcAgPb,-0.49294
6,Ac2Cd4Ag2,-0.33177
7,AcEuAgPb,-0.46153
8,AcEuAgSn,-0.54809
9,AcAgGe,-0.61441
10,AcAgHg,-0.43906
11,Ac3In3Ag3,-0.43374
12,Ac2Mg4Ag2,-0.23906
13,Ac3Ag3O6,-2.5402
14,Ac4Ag4O12,-2.20945
15,AcAgPb,-0.39001
16,Ac2Ag2Pd2,-0.59927
17,Ac2Ag2Sb4,-0.76234
18,AcAgSn,-0.64861
19,AcAgTe2,-1.12537
20,AcZnAg,-0.34044
21,Ac2Ag4,-0.32166
22,AcAg2Ge2,-0.48399
23,Li2AcAg2,-0.28262
24,Ac2Mg8Ag4,-0.20575
25,Ac2Ag4Pd2,-0.47691
26,AcSi2Ag2,-0.45186
27,Ac2Ag4Sn4,-0.49081
28,Ac2Ag6,-0.29657
29,AcCdAg4,-0.24123
30,AcCd8Ag4,-0.18045
31,AcAg4Hg,-0.26425
32,AcInAg4,-0.26477
33,AcPmAg4,-0.31935
34,AcTlAg4,-0.21845
35,AcIn6Ag6,-0.20281
36,AcAl4Ag8,-0.2431
37,AcZn4Ag8,-0.1927
38,Ac2Al2Br2,-1.40408
39,AcAlGa,-0.51694
40,AcAlGe,-0.66447
41,Ac2Al2I2,-1.07362
42,Ac2Al2In2,-0.42059
43,Ac4Al4Ir4,-0.7374
44,AcAlO3,-3.76029
45,AcAlPd2,-0.89996
46,Ac4Al4Pt4,-0.95276
47,Ac4Al4Pt8,-1.09474
48,AcAlSi,-0.56192
49,Ac2Al2Zn2,-0.38113
50,Ac2Al4,-0.42305
51,Ac2Al4Au4,-0.76196
52,Ac2Al4Au6,-0.72964
53,AcAl2Cd2,-0.28374
54,Ac2Al4Cu2,-0.38912
55,Ac2Al4Cu6,-0.3945
56,AcAl2Ga2,-0.46498
57,Ac2Al4Ir2,-0.82757
58,Ac2Al4Ir4,-0.82369
59,Li4Ac4Al8,-0.2968
60,Ac2Al4Ni2,-0.57513
