,composition,Energy (eV/atom)
0,Ac,-4.065279960632324
1,Ag,-2.811711072921753
2,Al,-3.6643600463867183
3,Ar,-0.0685022100806236
4,As,-4.581198692321777
5,Au,-3.2357237339019775
6,B,-6.567190170288086
7,Ba,-1.883027195930481
8,Be,-3.7293484210968018
9,Bi,-3.813786506652832
10,Br,-1.6117181777954102
11,C,-9.18059253692627
12,Ca,-1.970252513885498
13,Cd,-0.9252057671546936
14,Ce,-5.864327907562256
15,Cl,-1.8946857452392576
16,Co,-7.029226303100586
17,Cr,-9.5410795211792
18,Cs,-0.8770128488540649
19,Cu,-4.083530902862549
20,Dy,-4.585305690765381
21,Er,-4.547650337219238
22,Eu,-10.258413314819336
23,F,-1.8481686115264893
24,Fe,-8.356695175170898
25,Ga,-3.0170319080352783
26,Gd,-14.047163009643556
27,Ge,-4.4566826820373535
28,H,-3.371659278869629
29,He,-0.0559495836496353
30,Hf,-9.913578033447266
31,Hg,-0.2737393677234649
32,Ho,-4.564550876617432
33,I,-1.6094651222229004
34,In,-2.7009963989257812
35,Ir,-8.842534065246582
36,K,-1.0896002054214478
37,Kr,-0.0639369487762451
38,La,-4.895499229431152
39,Li,-1.8828229904174805
40,Lu,-4.4955925941467285
41,Mg,-1.5963280200958252
42,Mn,-9.109421730041504
43,Mo,-10.696218490600586
44,N,-8.298527717590332
45,Na,-1.295478582382202
46,Nb,-10.025985717773438
47,Nd,-4.73036527633667
48,Ne,-0.0365423336625099
49,Ni,-5.7466206550598145
50,Np,-12.84776210784912
51,O,-4.856411457061768
52,Os,-11.172837257385254
53,P,-5.385995864868164
54,Pa,-9.436431884765623
55,Pb,-3.6639442443847656
56,Pd,-5.202854633331299
57,Pm,-4.730040073394775
58,Pr,-4.7477240562438965
59,Pt,-6.092452049255371
60,Pu,-14.228217124938965
61,Rb,-0.9671494960784912
62,Re,-12.457053184509276
63,Rh,-7.300466060638428
64,Ru,-9.140761375427246
65,S,-4.140545845031738
66,Sb,-4.06719970703125
67,Sc,-6.2752814292907715
68,Se,-3.496886730194092
69,Si,-5.313828945159912
70,Sm,-4.688140869140625
71,Sn,-3.8233914375305176
72,Sr,-1.665488600730896
73,Ta,-11.851639747619627
74,Tb,-4.597802639007568
75,Tc,-10.339295387268066
76,Te,-3.144228458404541
77,Th,-7.40749979019165
78,Ti,-7.786338806152344
79,Tl,-2.3473563194274902
80,Tm,-4.4662909507751465
81,U,-11.16897201538086
82,V,-9.077459335327148
83,W,-12.762643814086914
84,Xe,-0.0480644702911376
85,Y,-6.444607734680176
86,Yb,-1.5246824026107788
87,Zn,-1.263141632080078
88,Zr,-8.510090827941895
