,composition,Formation Energy (eV/atom)
0,Ac4,0.0
1,AcAg,-0.27377
2,Ac2Ag2As4,-0.75304
3,Ac2Ag2Bi4,-0.56298
4,CaAcInAg,-0.38886
5,CaAcAgPb,-0.4748
6,Ac2Cd4Ag2,-0.3196
7,AcEuAgPb,-0.46806
8,AcEuAgSn,-0.54235
9,AcAgGe,-0.55925
10,AcAgHg,-0.41813
11,Ac3In3Ag3,-0.4132
12,Ac2Mg4Ag2,-0.22275
13,Ac3Ag3O6,-2.20081
14,Ac4Ag4O12,-1.74462
15,AcAgPb,-0.42668
16,Ac2Ag2Pd2,-0.5972
17,Ac2Ag2Sb4,-0.70409
18,AcAgSn,-0.56651
19,AcAgTe2,-0.83275
20,AcZnAg,-0.32776
21,Ac2Ag4,-0.32324
22,AcAg2Ge2,-0.45093
23,Li2AcAg2,-0.23138
24,Ac2Mg8Ag4,-0.21738
25,Ac2Ag4Pd2,-0.45551
26,AcSi2Ag2,-0.4187
27,Ac2Ag4Sn4,-0.44339
28,Ac2Ag6,-0.27216
29,AcCdAg4,-0.22829
30,AcCd8Ag4,-0.16545
31,AcAg4Hg,-0.2365
32,AcInAg4,-0.26464
33,AcPmAg4,-0.30402
34,AcTlAg4,-0.22559
35,AcIn6Ag6,-0.20615
36,AcAl4Ag8,-0.21077
37,AcZn4Ag8,-0.15354
38,Ac2Al2Br2,-1.15552
39,AcAlGa,-0.54081
40,AcAlGe,-0.61984
41,Ac2Al2I2,-0.95474
42,Ac2Al2In2,-0.4417
43,Ac4Al4Ir4,-0.73684
44,AcAlO3,-3.31954
45,AcAlPd2,-0.87323
46,Ac4Al4Pt4,-1.00783
47,Ac4Al4Pt8,-1.14591
48,AcAlSi,-0.57648
49,Ac2Al2Zn2,-0.35393
50,Ac2Al4,-0.35806
51,Ac2Al4Au4,-0.73502
52,Ac2Al4Au6,-0.70263
53,AcAl2Cd2,-0.33427
54,Ac2Al4Cu2,-0.3585
55,Ac2Al4Cu6,-0.33904
56,AcAl2Ga2,-0.44438
57,Ac2Al4Ir2,-0.74356
58,Ac2Al4Ir4,-0.82309
59,Li4Ac4Al8,-0.28459
60,Ac2Al4Ni2,-0.51567
61,Ac2Al4Pd2,-0.68839
62,Ac2Al4Pt2,-0.88422
63,Ac2Al4Rh2,-0.72804
64,Ac2Al6,-0.35859
65,Ac2Al6Cu4,-0.35219
66,Ac2Al6Ni4,-0.57353
67,Ac2Al6Pd4,-0.77482
68,Sr2Ac2Al6,-0.30593
69,AcAl4,-0.31869
70,Ac2Al8Co2,-0.4547
71,AcEuAl4,-0.3859
72,Ac2Al8Fe2,-0.37758
73,AcAl5Cu2,-0.35194
74,AcAl5Ir2,-0.76982
75,AcAl5Ni2,-0.57218
76,AcAl5Pd2,-0.69051
77,AcAl5Pt2,-0.87528
78,AcAl5Rh2,-0.76381
79,AcAl6Pd,-0.47776
80,AcAl6Pt,-0.57512
81,AcAl9Co2,-0.42901
82,AcAl9Fe2,-0.35761
83,AcAs,-1.47854
84,Ac2Cd2As2O2,-1.82381
85,Ac2Cr2As2O2,-1.20827
86,Ac2Cu2As2O2,-1.74506
87,Ac2As2Ir2O2,-1.84728
88,LiAcAs,-0.99877
89,Ac2Mn2As2O2,-1.37537
90,Ac2Nb2As2O2,-1.9029
91,Ac2As2Pd2O2,-1.9058
92,Ac2As2Pt2O2,-1.87565
93,Ac2As2Rh2O2,-1.97442
94,Ac2As2Ru2O2,-1.90244
95,Ac2Tc2As2O2,-1.77585
96,Ac2V2As2O2,-1.19933
97,Ac2Zn2As2O2,-1.87541
98,Ac2As2O8,-2.42606
99,AcAsPd,-1.2001
100,AcAsRh,-1.06592
101,Ac2As2S2,-1.5768
102,Ac2Cu2As4,-0.79288
103,Ac2Ni4As4,-0.80376
104,Ac2As4Pd4,-0.92908
105,Ac2As4Pd8,-0.74498
106,Ac2As4Rh4,-0.92589
107,AcAs2Ru2,-0.74327
108,AcAu,-0.77666
109,Ac2Cd4Au2,-0.51411
110,AcCuAu,-0.57541
111,Ac2Ga2Au2,-0.76683
112,AcGeAu,-0.81961
113,Ac2H2Au2,-0.73312
114,Ac2Hg2Au2,-0.67708
115,Ac2La4Au2,-0.42533
116,Ac4Mg4Au4,-0.61726
117,Ac2Mg4Au2,-0.49838
118,Ac2Au2O4,-2.20274
119,Ac4Au4O12,-1.78101
120,Ac2P2Au2,-1.00207
121,AcPbAu,-0.69742
122,AcPdAu,-0.82895
123,Ac2Pt2Au2,-0.95055
124,Ac4Au4S8,-1.40599
125,AcSbAu,-0.90266
126,Ac2Sb4Au2,-0.72605
127,Ac2Sc2Au2,-0.59973
128,AcSiAu,-0.78612
129,AcSnAu,-0.79319
130,Ac4Te8Au4,-1.06687
131,AcZnAu,-0.65359
132,AcPd2Au10,-0.29218
133,AcAu2,-0.84361
134,AcCd5Au2,-0.36846
135,Ac2Ga4Au4,-0.68205
136,Ac2Ge4Au4,-0.61328
137,AcIn2Au2,-0.6172
138,Li2AcAu2,-0.64468
139,Li8Ac2Au4,-0.49935
140,Ac2Mg8Au4,-0.52868
141,Ac2Sn4Au4,-0.64258
142,AcZn2Au2,-0.5743
143,Ac2Au6,-0.72852
144,Ac2Zn4Au6,-0.54955
145,AcCd2Au4,-0.54757
146,AcLaAu4,-0.83088
147,Li2AcAu4,-0.66987
148,AcMg2Au4,-0.70896
149,AcSi2Au4,-0.48085
150,AcCu4Au8,-0.27197
151,AcBi2Au9,-0.28213
152,Ac4B4Ir4,-0.60035
