,composition,Energy (eV/atom)
0,Ac,-4.111855506896973
1,Ag,-2.831730524698893
2,Al,-3.7437729835510254
3,Ar,8.553911209106445
4,As,-4.668749809265137
5,Au,-3.275789260864258
6,B,-6.683475494384766
7,Ba,-1.9207282066345217
8,Be,-3.7250068187713623
9,Bi,-3.887550592422486
10,Br,-1.6022921800613403
11,C,-9.234699249267578
12,Ca,-2.009133815765381
13,Cd,-0.9152870178222656
14,Ce,-5.879575729370117
15,Cl,-1.8212602138519287
16,Co,-7.105838298797607
17,Cr,-9.647954940795898
18,Cs,-0.8502090573310852
19,Cu,-4.099776268005371
20,Dy,-4.599063555399577
21,Er,-4.559590816497803
22,Eu,-10.235199928283691
23,F,-1.731882095336914
24,Fe,-8.448744773864746
25,Ga,-3.032247543334961
26,Gd,-14.054655075073242
27,Ge,-4.615471839904785
28,H,-3.375940322875977
29,He,-0.0427790880203247
30,Hf,-9.9496488571167
31,Hg,-0.2999106440050849
32,Ho,-4.57520325978597
33,I,-1.554532170295715
34,In,-2.7208452224731445
35,Ir,-8.87216567993164
36,K,-1.0975301265716553
37,Kr,2.673757553100586
38,La,-4.925617694854736
39,Li,-1.9080839157104492
40,Lu,-4.519641399383545
41,Mg,-1.6259617805480957
42,Mn,-9.163666823814657
43,Mo,-10.83971881866455
44,N,-8.253541946411133
45,Na,-1.3074111938476562
46,Nb,-10.08248805999756
47,Nd,-4.7684149742126465
48,Ne,5.949644088745117
49,Ni,-5.7831315994262695
50,Np,-12.948522567749023
51,O,-4.867198467254639
52,Os,-11.217336654663086
53,P,-5.403411865234375
54,Pa,-9.489953994750977
55,Pb,-3.705440044403076
56,Pd,-5.191921234130859
57,Pm,-4.748857021331787
58,Pr,-4.780738353729248
59,Pt,-6.0587592124938965
60,Pu,-14.312274932861328
61,Rb,-0.96420947710673
62,Re,-12.448765754699709
63,Rh,-7.349273681640625
64,Ru,-9.276838302612305
65,S,-4.116428375244141
66,Sb,-4.131880442301433
67,Sc,-6.331993103027344
68,Se,-3.4851131439208984
69,Si,-5.424635410308838
70,Sm,-4.718639373779297
71,Sn,-4.002801418304443
72,Sr,-1.6879897117614746
73,Ta,-11.842060089111328
74,Tb,-4.626654307047526
75,Tc,-10.359577178955078
76,Te,-3.143163045247396
77,Th,-7.405988693237305
78,Ti,-7.886901219685872
79,Tl,-2.355226755142212
80,Tm,-4.473672866821289
81,U,-11.306347846984863
82,V,-9.11520004272461
83,W,-12.95729160308838
84,Xe,6.595234394073486
85,Y,-6.461562156677246
86,Yb,-1.535530686378479
87,Zn,-1.2748463153839111
88,Zr,-8.5445556640625
