,composition,Formation Energy (eV/atom)
0,Ac4,0.0
1,AcAg,-0.27529
2,Ac2Ag2As4,-0.74977
3,Ac2Ag2Bi4,-0.56694
4,CaAcInAg,-0.39686
5,CaAcAgPb,-0.47331
6,Ac2Cd4Ag2,-0.31776
7,AcEuAgPb,-0.46089
8,AcEuAgSn,-0.54015
9,AcAgGe,-0.5657
10,AcAgHg,-0.4193
11,Ac3In3Ag3,-0.42434
12,Ac2Mg4Ag2,-0.22285
13,Ac3Ag3O6,-2.21106
14,Ac4Ag4O12,-1.75439
15,AcAgPb,-0.42403
16,Ac2Ag2Pd2,-0.60085
17,Ac2Ag2Sb4,-0.70404
18,AcAgSn,-0.56961
19,AcAgTe2,-0.83313
20,AcZnAg,-0.33234
21,Ac2Ag4,-0.32485
22,AcAg2Ge2,-0.45599
23,Li2AcAg2,-0.22693
24,Ac2Mg8Ag4,-0.22114
25,Ac2Ag4Pd2,-0.45523
26,AcSi2Ag2,-0.42495
27,Ac2Ag4Sn4,-0.43992
28,Ac2Ag6,-0.27079
29,AcCdAg4,-0.22693
30,AcCd8Ag4,-0.16651
31,AcAg4Hg,-0.23772
32,AcInAg4,-0.25982
33,AcPmAg4,-0.30697
34,AcTlAg4,-0.22672
35,AcIn6Ag6,-0.20018
36,AcAl4Ag8,-0.20844
37,AcZn4Ag8,-0.15598
38,Ac2Al2Br2,-1.16176
39,AcAlGa,-0.54302
40,AcAlGe,-0.62226
41,Ac2Al2I2,-0.95898
42,Ac2Al2In2,-0.43508
43,Ac4Al4Ir4,-0.73895
44,AcAlO3,-3.33365
45,AcAlPd2,-0.87742
46,Ac4Al4Pt4,-1.00805
47,Ac4Al4Pt8,-1.14964
48,AcAlSi,-0.57671
49,Ac2Al2Zn2,-0.35733
50,Ac2Al4,-0.35708
51,Ac2Al4Au4,-0.7363
52,Ac2Al4Au6,-0.70257
53,AcAl2Cd2,-0.32913
54,Ac2Al4Cu2,-0.35858
55,Ac2Al4Cu6,-0.33622
56,AcAl2Ga2,-0.44791
57,Ac2Al4Ir2,-0.74534
58,Ac2Al4Ir4,-0.83516
59,Li4Ac4Al8,-0.28233
60,Ac2Al4Ni2,-0.51501
61,Ac2Al4Pd2,-0.68732
62,Ac2Al4Pt2,-0.88149
63,Ac2Al4Rh2,-0.73116
64,Ac2Al6,-0.36092
65,Ac2Al6Cu4,-0.34368
66,Ac2Al6Ni4,-0.56537
67,Ac2Al6Pd4,-0.76995
68,Sr2Ac2Al6,-0.30656
69,AcAl4,-0.322
70,Ac2Al8Co2,-0.45563
71,AcEuAl4,-0.37833
72,Ac2Al8Fe2,-0.37931
73,AcAl5Cu2,-0.35157
74,AcAl5Ir2,-0.76926
75,AcAl5Ni2,-0.57273
76,AcAl5Pd2,-0.69547
77,AcAl5Pt2,-0.87769
78,AcAl5Rh2,-0.7648
79,AcAl6Pd,-0.47378
80,AcAl6Pt,-0.57104
81,AcAl9Co2,-0.42666
82,AcAl9Fe2,-0.35027
83,AcAs,-1.48172
84,Ac2Cd2As2O2,-1.83116
85,Ac2Cr2As2O2,-1.20343
86,Ac2Cu2As2O2,-1.73345
87,Ac2As2Ir2O2,-1.85104
88,LiAcAs,-0.99377
89,Ac2Mn2As2O2,-1.37654
90,Ac2Nb2As2O2,-1.89202
91,Ac2As2Pd2O2,-1.85007
92,Ac2As2Pt2O2,-1.83352
93,Ac2As2Rh2O2,-1.966
94,Ac2As2Ru2O2,-1.90838
95,Ac2Tc2As2O2,-1.76926
96,Ac2V2As2O2,-1.67371
97,Ac2Zn2As2O2,-1.88495
98,Ac2As2O8,-2.42914
99,AcAsPd,-1.20234
100,AcAsRh,-1.07197
101,Ac2As2S2,-1.57997
102,Ac2Cu2As4,-0.79018
103,Ac2Ni4As4,-0.80592
104,Ac2As4Pd4,-0.93146
105,Ac2As4Pd8,-0.74639
106,Ac2As4Rh4,-0.93197
107,AcAs2Ru2,-0.75222
108,AcAu,-0.7867
109,Ac2Cd4Au2,-0.51293
110,AcCuAu,-0.57625
111,Ac2Ga2Au2,-0.77044
112,AcGeAu,-0.81571
113,Ac2H2Au2,-0.71005
114,Ac2Hg2Au2,-0.6824
115,Ac2La4Au2,-0.42093
116,Ac4Mg4Au4,-0.61851
117,Ac2Mg4Au2,-0.49871
118,Ac2Au2O4,-2.21717
119,Ac4Au4O12,-1.83281
120,Ac2P2Au2,-1.00623
121,AcPbAu,-0.69543
122,AcPdAu,-0.83304
123,Ac2Pt2Au2,-0.95301
124,Ac4Au4S8,-1.41366
125,AcSbAu,-0.90353
126,Ac2Sb4Au2,-0.73005
127,Ac2Sc2Au2,-0.60415
128,AcSiAu,-0.7808
129,AcSnAu,-0.79677
130,Ac4Te8Au4,-1.06534
131,AcZnAu,-0.65525
132,AcPd2Au10,-0.29697
133,AcAu2,-0.84499
134,AcCd5Au2,-0.36507
135,Ac2Ga4Au4,-0.68309
136,Ac2Ge4Au4,-0.61809
137,AcIn2Au2,-0.61712
138,Li2AcAu2,-0.63943
139,Li8Ac2Au4,-0.50025
140,Ac2Mg8Au4,-0.52592
141,Ac2Sn4Au4,-0.64439
142,AcZn2Au2,-0.57913
143,Ac2Au6,-0.72752
144,Ac2Zn4Au6,-0.55513
145,AcCd2Au4,-0.54422
146,AcLaAu4,-0.83158
147,Li2AcAu4,-0.67555
148,AcMg2Au4,-0.70466
149,AcSi2Au4,-0.48497
150,AcCu4Au8,-0.27588
151,AcBi2Au9,-0.2825
152,Ac4B4Ir4,-0.59058
153,Ac2B2N2,-0.94642
154,Ac2B2O6,-3.11883
155,AcBRh3,-0.63079
156,AcB12,-0.06574
157,Ac2B4Ir4,-0.67954
158,Ac2B4Os4,-0.37605
159,Ac2B4Pt12,-0.59037
160,Ac2B4Rh4,-0.61957
161,Ac2B4Ru4,-0.46375
162,AcNbB4,-0.36613
163,AcPmB4,-0.14326
164,AcTaB4,-0.37679
165,AcCo12B6,-0.33271
166,AcB6Ir12,-0.30447
167,AcNi12B6,-0.3819
168,AcB6Rh12,-0.41748
169,BaAcHg4,-0.49499
170,Ba2Ac2Si6,-0.49699
171,Ba2AcCd3,-0.31801
172,Ba2AcHg3,-0.51551
173,Ba2AcIrO6,-2.28131
174,Ba2AcRuO6,-2.3573
175,Ba2AcSbO6,-2.61826
176,Ba4AcCd5,-0.32202
177,Ba4AcHg5,-0.52181
178,Ba5AcS6,-2.07769
179,Ba5AcSe6,-2.02366
180,AcBeGe,-0.50547
181,Ac2Be2Pd6,-0.7069
182,AcBeSi,-0.43892
183,AcBi,-0.99815
184,LiAcBi,-0.7236
185,Ac2Bi2O8,-2.00354
186,AcBiPd,-0.92231
187,AcBiPt,-0.95302
188,Ac2Bi2Se2,-1.41995
189,Ac2Sn2Bi2,-0.68265
190,Li2Ac2Bi4,-0.72661
191,Ac2Bi4Pd4,-0.6827
192,Ac2Bi4Rh2,-0.59468
193,AcBi3,-0.53252
194,Ac4Hf4Bi12,-0.48459
195,Ac2Mg6Bi6,-0.44641
196,Ac2Bi6S12,-0.83611
197,Ac2Bi6Se12,-0.80337
198,Ac4Ti4Bi12,-0.4872
199,Ac2Ga2Br2,-1.29483
200,Ac2Ir2Br2,-1.3352
201,Ac2Br2N2,-1.50467
202,Ac2Br2O2,-3.02774
203,Ac2Rh2Br2,-1.29852
204,Ac2Si2Br2,-1.27009
205,Ac2Br6,-2.10522
206,Cs3AcBr6,-1.94003
207,Rb6Ac2Br12,-1.91381
208,Ac2C2F2,-1.97358
209,Ac4C4N8,-0.70994
210,AcRh3C,-0.29448
211,AcC2,-0.0828
212,AcCoC2,-0.14904
213,AcNiC2,-0.14217
214,AcRuC2,-0.06197
215,CaAcCdIn,-0.43599
216,CaAcTlCd,-0.40928
217,CaAcZnGa,-0.39161
218,Ca2Ac2Ga6,-0.56813
219,CaAcInHg,-0.5233
220,CaAcTlHg,-0.50296
221,CaAcHg2,-0.55326
222,CaAcZnIn,-0.38227
223,CaAcMgTl,-0.27272
224,CaAcMg4,-0.09949
225,CaAcPd4,-0.74664
226,CaAcPt2,-1.05717
227,CaAcPt4,-1.00152
228,CaAcRh4,-0.51358
229,Ca2Ac2Si6,-0.54515
230,CaAcZn2,-0.28
231,Ca4Ac2Ir2,-0.3849
232,Ca4Ac2Rh2,-0.38529
233,Ac2Cd2,-0.30442
234,AcEuCdIn,-0.41008
235,AcEuTlCd,-0.38153
236,AcCdHg2,-0.42261
237,Ac2Cd2In2,-0.44573
238,SrAcCdIn,-0.40444
239,Ac6Mg6Cd6,-0.24745
240,Ac2Cd2P2O2,-1.79921
241,Ac4Cd4Pd8,-0.69203
242,Ac4Cd4Pt4,-0.85073
243,AcCdPt4,-0.77651
244,AcCdSn,-0.53312
245,SrAcTlCd,-0.38269
246,Ac2Tl2Cd2,-0.35809
247,AcCd12,-0.1412
248,Ac2Cd4,-0.34534
249,AcEuCd2,-0.3354
250,Ac2Cd4In2,-0.37761
251,Ac4Mg4Cd8,-0.2777
252,Ac2Cd4Ni2,-0.29799
253,Ac2Cd4Pd2,-0.56749
254,AcCd2Pd4,-0.58717
255,Ac2Cd4Pt2,-0.65659
256,AcCd2Pt2,-0.72403
257,Ac2Cd4Rh2,-0.46941
258,AcZn2Cd2,-0.29199
259,Ac2Cd6,-0.31505
260,AcMg8Cd4,-0.14571
261,Ac2Cd8Pt4,-0.54911
262,AcZn2Cd4,-0.24143
263,AcMg4Cd8,-0.18492
264,AcCeGa4,-0.61797
265,AcCeIr,-0.4138
266,Ac2Ir2Cl2,-1.47459
267,Ac2N2Cl2,-1.66243
268,Ac2Cl2O2,-3.18966
269,AcSeCl,-2.23199
270,Ac2Cl6,-2.48951
271,Cs3AcCl6,-2.19518
272,Rb6Ac2Cl12,-2.17515
273,Ac2Co2Ge4,-0.59821
274,AcCoGe3,-0.56612
275,AcCoH6,-0.38424
276,Ac2Co2N6,-0.5435
277,Ac2Co2Si2,-0.59191
278,Ac2Ga6Co4,-0.41345
279,AcGa5Co2,-0.43091
280,AcCo2Si2,-0.61044
281,Ac2Cr2P2O2,-1.21888
282,Ac4Cr4O12,-2.38949
283,Ac2Cr2O8,-2.04286
284,CsAcF4,-3.82024
285,CsAcO2,-2.55132
286,CsAcS2,-1.8799
287,Cs2Ac2Tb2Te6,-1.29363
288,CsAcTe2,-1.50566
289,Cs6Ac2I12,-1.57546
290,AcCuF6,-2.87322
291,AcGa6Cu,-0.36311
292,Ac3Cu3Ge3,-0.58488
293,Ac2Cu2I2,-0.81758
294,Ac2In8Cu2,-0.31301
295,Ac2Mg4Cu2,-0.14706
296,Ac2Cu2Ni2,-0.2489
297,Ac2Cu2P2O2,-1.76548
298,Ac3Cu3O6,-2.33212
299,Ac4Cu4O12,-2.059
300,Ac4Cu4Pb4,-0.37544
301,Ac2Cu2Sb4Pd2,-0.71251
302,Ac2Cu2Sb4,-0.68663
303,AcCuSi,-0.52252
304,AcCuSn,-0.48927
305,AcCu2,-0.20712
306,Ac2Ga4Cu4,-0.39543
307,AcCu2Ge2,-0.50893
308,AcCu2P2,-0.69344
309,AcCu2Si2,-0.50663
310,Ac2Zn4Cu6,-0.21844
311,AcCu4F12,-2.21073
312,AcCu5,-0.11752
313,Ac2Dy2Hg2,-0.33534
314,Ac2Dy2Te6,-1.51315
315,Ac2Dy4S8,-2.12127
316,Ac2Dy4Se8,-1.91853
317,Ac2Dy6Se12,-1.93643
318,AcErGa4,-0.62398
319,Ac4Er4O12,-3.5519
320,Ac2Er2Te6,-1.50625
321,Ac2Er2Tl2,-0.2703
322,Ac2Er4S8,-2.11428
323,Ac2Er4Se8,-1.90462
324,Ac2Er6S12,-2.13643
325,Ac2Er6Se12,-1.92579
326,AcEuTlHg,-0.4738
327,AcEuHg2,-0.53429
328,AcEuIr,-0.45604
329,AcEuPd4,-0.75835
330,AcEuPt4,-1.01092
331,AcEuRh,-0.41072
332,AcEuRh4,-0.5305
333,AcEuZn2,-0.27107
334,Ac2Ge2F2,-2.31408
335,Ac2O2F2,-3.92743
336,Ac4P4F4,-2.5498
337,AcSF,-3.12668
338,Ac2Se2F2,-3.09274
