,composition,Energy (eV/atom)
0,Ac,-4.095974922180176
1,Ag,-2.8273534774780273
2,Al,-3.742306470870972
3,Ar,-0.0910889133810997
4,As,-4.657589435577393
5,Au,-3.270291805267334
6,B,-6.683583577473958
7,Ba,-1.919149160385132
8,Be,-3.7323780059814458
9,Bi,-3.8916335105896
10,Br,-1.6260305643081665
11,C,-9.225303649902344
12,Ca,-2.0000433921813965
13,Cd,-0.9076924324035645
14,Ce,-5.886314392089844
15,Cl,-1.8369563817977903
16,Co,-7.097947120666504
17,Cr,-9.630517959594728
18,Cs,-0.8548145294189453
19,Cu,-4.094695568084717
20,Dy,-4.597334543863933
21,Er,-4.558273792266846
22,Eu,-10.263589859008787
23,F,-1.7321327924728394
24,Fe,-8.457616806030273
25,Ga,-3.027440071105957
26,Gd,-14.05344009399414
27,Ge,-4.611872673034668
28,H,-3.3906004428863525
29,He,-0.0113066434860229
30,Hf,-9.949705123901367
31,Hg,-0.2948895158438847
32,Ho,-4.5703080495198565
33,I,-1.5470296144485474
34,In,-2.720223188400269
35,Ir,-8.857399940490723
36,K,-1.0975065231323242
37,Kr,-0.9061343669891356
38,La,-4.925998687744141
39,Li,-1.9017796516418457
40,Lu,-4.526201248168945
41,Mg,-1.6141290664672852
42,Mn,-9.159409095501076
43,Mo,-10.84039306640625
44,N,-8.234320640563965
45,Na,-1.309085726737976
46,Nb,-10.09465789794922
47,Nd,-4.767653465270996
48,Ne,-0.0152237629517912
49,Ni,-5.785078525543213
50,Np,-12.940258026123049
51,O,-4.8627777099609375
52,Os,-11.221455574035645
53,P,-5.401338123139881
54,Pa,-9.49809455871582
55,Pb,-3.7056479454040527
56,Pd,-5.184675216674805
57,Pm,-4.747420787811279
58,Pr,-4.780027866363525
59,Pt,-6.052854537963867
60,Pu,-14.304876327514648
61,Rb,-0.9650145371754963
62,Re,-12.44067668914795
63,Rh,-7.339441776275635
64,Ru,-9.274463653564451
65,S,-4.113175710042317
66,Sb,-4.1253922780354815
67,Sc,-6.331923484802246
68,Se,-3.482338269551595
69,Si,-5.421158313751221
70,Sm,-4.7151570320129395
71,Sn,-4.003716468811035
72,Sr,-1.6848251819610596
73,Ta,-11.84622859954834
74,Tb,-4.622953414916992
75,Tc,-10.360845565795898
76,Te,-3.1415535608927407
77,Th,-7.411405563354492
78,Ti,-7.899923960367839
79,Tl,-2.3552868366241455
80,Tm,-4.473638534545898
81,U,-11.313722610473633
82,V,-9.09882354736328
83,W,-12.951756477355955
84,Xe,-0.0119180679321289
85,Y,-6.463539123535156
86,Yb,-1.5276901721954346
87,Zn,-1.261807203292847
88,Zr,-8.547434488932291
