,composition,Formation Energy (eV/atom)
0,Ac4,0.0
1,AcAg,-0.2672
2,Ac2Ag2As4,-0.71974
3,Ac2Ag2Bi4,-0.4427
4,CaAcInAg,-0.37511
5,CaAcAgPb,-0.4694
6,Ac2Cd4Ag2,-0.30143
7,AcEuAgPb,-0.44766
8,AcEuAgSn,-0.52819
9,AcAgGe,-0.53889
10,AcAgHg,-0.42347
11,Ac3In3Ag3,-0.40907
12,Ac2Mg4Ag2,-0.19959
13,Ac3Ag3O6,-2.22852
14,Ac4Ag4O12,-1.82608
15,AcAgPb,-0.41764
16,Ac2Ag2Pd2,-0.61315
17,Ac2Ag2Sb4,-0.58357
18,AcAgSn,-0.53706
19,AcAgTe2,-0.83073
20,AcZnAg,-0.32465
21,Ac2Ag4,-0.33193
22,AcAg2Ge2,-0.39738
23,Li2AcAg2,-0.24796
24,Ac2Mg8Ag4,-0.2097
25,Ac2Ag4Pd2,-0.46716
26,AcSi2Ag2,-0.39401
27,Ac2Ag4Sn4,-0.36164
28,Ac2Ag6,-0.27
29,AcCdAg4,-0.21476
30,AcCd8Ag4,-0.1833
31,AcAg4Hg,-0.23575
32,AcInAg4,-0.24958
33,AcPmAg4,-0.3177
34,AcTlAg4,-0.18982
35,AcIn6Ag6,-0.15732
36,AcAl4Ag8,-0.20624
37,AcZn4Ag8,-0.14403
38,Ac2Al2Br2,-1.17298
39,AcAlGa,-0.50567
40,AcAlGe,-0.58448
41,Ac2Al2I2,-0.89924
42,Ac2Al2In2,-0.42013
43,Ac4Al4Ir4,-0.68209
44,AcAlO3,-3.41902
45,AcAlPd2,-0.86517
46,Ac4Al4Pt4,-0.95488
47,Ac4Al4Pt8,-1.09889
48,AcAlSi,-0.542
49,Ac2Al2Zn2,-0.36432
50,Ac2Al4,-0.33966
51,Ac2Al4Au4,-0.71488
52,Ac2Al4Au6,-0.69733
53,AcAl2Cd2,-0.30028
54,Ac2Al4Cu2,-0.37748
55,Ac2Al4Cu6,-0.33985
56,AcAl2Ga2,-0.45071
57,Ac2Al4Ir2,-0.71582
58,Ac2Al4Ir4,-0.79467
59,Li4Ac4Al8,-0.28761
60,Ac2Al4Ni2,-0.53703
61,Ac2Al4Pd2,-0.69882
62,Ac2Al4Pt2,-0.86265
63,Ac2Al4Rh2,-0.71621
64,Ac2Al6,-0.33821
65,Ac2Al6Cu4,-0.37672
66,Ac2Al6Ni4,-0.57507
67,Ac2Al6Pd4,-0.77238
68,Sr2Ac2Al6,-0.27372
69,AcAl4,-0.33263
70,Ac2Al8Co2,-0.47263
71,AcEuAl4,-0.37091
72,Ac2Al8Fe2,-0.39015
73,AcAl5Cu2,-0.33401
74,AcAl5Ir2,-0.74877
75,AcAl5Ni2,-0.56724
76,AcAl5Pd2,-0.67891
77,AcAl5Pt2,-0.86227
78,AcAl5Rh2,-0.75237
79,AcAl6Pd,-0.4759
80,AcAl6Pt,-0.54964
81,AcAl9Co2,-0.4461
82,AcAl9Fe2,-0.36937
