,composition,Formation Energy (eV/atom)
0,Ac4,0.0
1,AcAg,-0.2782713572184248
2,Ac2Ag2As4,-0.7507370313008632
3,Ac2Ag2Bi4,-0.56685741742452
4,CaAcInAg,-0.3935304482777915
5,CaAcAgPb,-0.4731489022572837
6,Ac2Cd4Ag2,-0.3221261998017626
7,AcEuAgPb,-0.4654186566670732
8,AcEuAgSn,-0.5477258761723833
9,AcAgGe,-0.6076038148668084
10,AcAgHg,-0.4120626851516666
11,Ac3In3Ag3,-0.4165027406480579
12,Ac2Mg4Ag2,-0.2669596672058105
13,Ac3Ag3O6,-2.196000734965006
14,Ac4Ag4O12,-1.749434343973796
15,AcAgPb,-0.4020606146918406
16,Ac2Ag2Pd2,-0.5881142086452913
17,Ac2Ag2Sb4,-0.6936408678690595
18,AcAgSn,-0.5841346846686468
19,AcAgTe2,-0.9117644627889
20,AcZnAg,-0.3317861027187772
21,Ac2Ag4,-0.3218649758232961
22,AcAg2Ge2,-0.4746974309285483
23,Li2AcAg2,-0.2235546112060551
24,Ac2Mg8Ag4,-0.2757136481148849
25,Ac2Ag4Pd2,-0.4322101275126142
26,AcSi2Ag2,-0.4362193425496414
27,Ac2Ag4Sn4,-0.4417344411214192
28,Ac2Ag6,-0.2634720802307129
29,AcCdAg4,-0.2130159172746872
30,AcCd8Ag4,-0.1701379800454161
31,AcAg4Hg,-0.2184168698687214
32,AcInAg4,-0.2236822976006407
33,AcPmAg4,-0.2986736827426486
34,AcTlAg4,-0.1839563979042902
35,AcIn6Ag6,-0.1629827205951395
36,AcAl4Ag8,-0.200059426136506
37,AcZn4Ag8,-0.1591886129134736
38,Ac2Al2Br2,-1.191628654797872
39,AcAlGa,-0.5293291409810381
40,AcAlGe,-0.6478354136149092
41,Ac2Al2I2,-0.9681889216105146
42,Ac2Al2In2,-0.4315544764200849
43,Ac4Al4Ir4,-0.7435363133748369
44,AcAlO3,-3.315279006958008
45,AcAlPd2,-0.8720238208770752
46,Ac4Al4Pt4,-0.9722038904825848
47,Ac4Al4Pt8,-1.118680715560913
48,AcAlSi,-0.5713504155476885
49,Ac2Al2Zn2,-0.358598550160726
50,Ac2Al4,-0.3705205917358398
51,Ac2Al4Au4,-0.7211803436279296
52,Ac2Al4Au6,-0.6677272319793701
53,AcAl2Cd2,-0.3210525274276734
54,Ac2Al4Cu2,-0.3726346492767334
55,Ac2Al4Cu6,-0.3233723640441894
56,AcAl2Ga2,-0.4512096405029298
57,Ac2Al4Ir2,-0.7577259540557861
58,Ac2Al4Ir4,-0.8167634963989254
59,Li4Ac4Al8,-0.2648421923319501
60,Ac2Al4Ni2,-0.5198585987091064
61,Ac2Al4Pd2,-0.7011761665344238
62,Ac2Al4Pt2,-0.8902509212493896
63,Ac2Al4Rh2,-0.7472783327102661
64,Ac2Al6,-0.3474581241607666
65,Ac2Al6Cu4,-0.3613311449686684
66,Ac2Al6Ni4,-0.5654648145039873
67,Ac2Al6Pd4,-0.7759594917297363
68,Sr2Ac2Al6,-0.3097268342971802
69,AcAl4,-0.3314695358276363
70,Ac2Al8Co2,-0.4465946356455488
71,AcEuAl4,-0.382957299550374
72,Ac2Al8Fe2,-0.353573004404704
73,AcAl5Cu2,-0.34445321559906
74,AcAl5Ir2,-0.7639917135238647
75,AcAl5Ni2,-0.5680354833602905
76,AcAl5Pd2,-0.6958342790603638
77,AcAl5Pt2,-0.8752783536911011
78,AcAl5Rh2,-0.7658846378326416
79,AcAl6Pd,-0.4797394275665283
80,AcAl6Pt,-0.5754178762435913
81,AcAl9Co2,-0.4333370526631679
82,AcAl9Fe2,-0.3464341958363848
83,AcAs,-1.4983162879943848
84,Ac2Cd2As2O2,-1.8198942989110949
85,Ac2Cr2As2O2,-1.213737964630127
86,Ac2Cu2As2O2,-1.7466344833374023
87,Ac2As2Ir2O2,-1.8370513916015625
88,LiAcAs,-1.0041998757256407
89,Ac2Mn2As2O2,-1.3852063705181248
90,Ac2Nb2As2O2,-1.8778367042541504
91,Ac2As2Pd2O2,-1.8858797550201416
92,Ac2As2Pt2O2,-1.8807244300842283
93,Ac2As2Rh2O2,-1.9545897245407104
94,Ac2As2Ru2O2,-1.8810057640075684
95,Ac2Tc2As2O2,-1.7652308940887451
96,Ac2V2As2O2,-1.1939537525177002
97,Ac2Zn2As2O2,-1.8777717351913452
98,Ac2As2O8,-2.436837037404378
99,AcAsPd,-1.1971003214518232
100,AcAsRh,-1.063078085581462
101,Ac2As2S2,-1.6082518895467128
102,Ac2Cu2As4,-0.791062593460083
103,Ac2Ni4As4,-0.8021409988403319
104,Ac2As4Pd4,-0.9341657638549804
105,Ac2As4Pd8,-0.7377140862601141
106,Ac2As4Rh4,-0.9384719848632814
107,AcAs2Ru2,-0.7588579177856447
108,AcAu,-0.7786500453948975
109,Ac2Cd4Au2,-0.5106283128261566
110,AcCuAu,-0.5698027610778813
111,Ac2Ga2Au2,-0.7631918589274092
112,AcGeAu,-0.8550251324971514
113,Ac2H2Au2,-0.6688639322916665
114,Ac2Hg2Au2,-0.6780297893217244
115,Ac2La4Au2,-0.3894737958908081
116,Ac4Mg4Au4,-0.6606695916917587
117,Ac2Mg4Au2,-0.5392403999964395
118,Ac2Au2O4,-2.2104276418685913
119,Ac4Au4O12,-1.8362294197082525
120,Ac2P2Au2,-0.9980080241248714
121,AcPbAu,-0.6729343732198081
122,AcPdAu,-0.8275755246480303
123,Ac2Pt2Au2,-0.94920015335083
124,Ac4Au4S8,-1.420793890953064
125,AcSbAu,-0.9250139130486388
126,Ac2Sb4Au2,-0.7218405803044643
127,Ac2Sc2Au2,-0.5839239756266279
128,AcSiAu,-0.7865598996480303
129,AcSnAu,-0.8229220708211265
130,Ac4Te8Au4,-1.0838350057601929
131,AcZnAu,-0.6558300654093427
132,AcPd2Au10,-0.282135596642127
133,AcAu2,-0.838637987772624
134,AcCd5Au2,-0.3612336739897728
135,Ac2Ga4Au4,-0.6792074203491212
136,Ac2Ge4Au4,-0.6516601562500002
137,AcIn2Au2,-0.595738983154297
138,Li2AcAu2,-0.6303892771402997
139,Li8Ac2Au4,-0.4867358434767954
140,Ac2Mg8Au4,-0.5783889407203309
141,Ac2Sn4Au4,-0.651712989807129
142,AcZn2Au2,-0.5730791091918945
143,Ac2Au6,-0.7085477113723755
144,Ac2Zn4Au6,-0.5427499612172446
145,AcCd2Au4,-0.5121117830276489
146,AcLaAu4,-0.8311991691589351
147,Li2AcAu4,-0.6544388816470201
148,AcMg2Au4,-0.7095404579525901
149,AcSi2Au4,-0.4772484643118719
150,AcCu4Au8,-0.2588340319119973
151,AcBi2Au9,-0.2825090487798052
152,Ac4B4Ir4,-0.5884165234035912
153,Ac2B2N2,-0.9495011435614692
154,Ac2B2O6,-3.1094935099283845
155,AcBRh3,-0.6135492006937655
156,AcB12,-0.1022697595449591
157,Ac2B4Ir4,-0.6833625157674152
158,Ac2B4Os4,-0.3806685765584312
159,Ac2B4Pt12,-0.5509007418597189
160,Ac2B4Rh4,-0.6227597554524733
161,Ac2B4Ru4,-0.4639136632283529
162,AcNbB4,-0.3217545085483131
163,AcPmB4,-0.1260179413689499
164,AcTaB4,-0.3239152166578511
165,AcCo12B6,-0.3415705530267017
166,AcB6Ir12,-0.2749280929565429
167,AcNi12B6,-0.3942755147030468
168,AcB6Rh12,-0.4061553854691357
169,BaAcHg4,-0.4961050029458669
170,Ba2Ac2Si6,-0.5029151201248165
