,composition,Energy (eV/atom)
0,Ac,-4.090384483337402
1,Ag,-2.824830691019694
2,Al,-3.733182907104492
3,Ar,-0.0675127506256103
4,As,-4.648357391357422
5,Au,-3.270202159881592
6,B,-6.6761728922526045
7,Ba,-1.8144067525863647
8,Be,-3.731682300567627
9,Bi,-3.83729887008667
10,Br,-1.5342744588851929
11,C,-9.221367835998535
12,Ca,-1.9958524703979492
13,Cd,-0.8977203965187073
14,Ce,-5.916778564453125
15,Cl,-1.8175709247589111
16,Co,-7.074291706085205
17,Cr,-9.621980667114258
18,Cs,-0.8416609764099121
19,Cu,-4.097650527954102
20,Dy,-4.5859982172648115
21,Er,-4.54836368560791
22,Eu,-10.258367538452148
23,F,-1.7931562662124634
24,Fe,-8.477886199951172
25,Ga,-3.008166790008545
26,Gd,-14.060103416442873
27,Ge,-4.523262977600098
28,H,-3.3904290199279785
29,He,-0.047551155090332
30,Hf,-9.896574020385742
31,Hg,-0.2890512532201306
32,Ho,-4.563628514607747
33,I,-1.5444831848144531
34,In,-2.718531608581543
35,Ir,-8.858129501342773
36,K,-1.080618381500244
37,Kr,-0.0415883064270019
38,La,-4.927318572998047
39,Li,-1.9007562001546223
40,Lu,-4.503096580505371
41,Mg,-1.5000559488932292
42,Mn,-9.146081332502694
43,Mo,-10.849212646484377
44,N,-8.25018310546875
45,Na,-1.3093137741088867
46,Nb,-10.103475570678713
47,Nd,-4.755198955535889
48,Ne,-0.017895221710205
49,Ni,-5.772794723510742
50,Np,-12.830455780029297
51,O,-4.875628471374512
52,Os,-11.19668197631836
53,P,-5.366468157087054
54,Pa,-9.492588996887209
55,Pb,-3.6989574432373047
56,Pd,-5.192355155944824
57,Pm,-4.733373641967773
58,Pr,-4.7665205001831055
59,Pt,-6.05375862121582
60,Pu,-14.117046356201172
61,Rb,-0.9357163906097412
62,Re,-12.434621810913086
63,Rh,-7.338192462921143
64,Ru,-9.24825668334961
65,S,-4.0605316162109375
66,Sb,-4.1004689534505205
67,Sc,-6.288293361663818
68,Se,-3.361167907714844
69,Si,-5.409496307373047
70,Sm,-4.697479248046875
71,Sn,-3.982855319976806
72,Sr,-1.6789897680282593
73,Ta,-11.856998443603516
74,Tb,-4.616373697916667
75,Tc,-10.346531867980955
76,Te,-2.9794750213623047
77,Th,-7.406810760498047
78,Ti,-7.84248415629069
79,Tl,-2.351017713546753
80,Tm,-4.451786041259766
81,U,-11.160975456237791
82,V,-9.087786674499512
83,W,-12.954036712646484
84,Xe,-0.0402278900146484
85,Y,-6.446752548217773
86,Yb,-1.5369408130645752
87,Zn,-1.2485623359680176
88,Zr,-8.51895268758138
